_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
29.92911,48.0,100000,0.05104589966657414,0.5095301906038121,-0.10789526932611582,-2.3550322457832333,4.897573154663007,0.999999977243139,-8241.896232973164,-55176.47532728567,0.0,128369490.26189038,1,1.2,4.60176483169198,0.19753086419753085,1.3121889,0.6396766,1.001473,0.34205818,0.0035642567,0.0002469135802469136
27.63463,45.5,100000,0.009724968223108319,0.5540810816216324,-0.160640654266058,-7.226232444045261,5.230352985944428,0.9999999635198589,-8666.500921668325,-45595.50590640329,-1135.369215914767,62607804.32478031,2,2.88,6.926889628171921,0.19506172839506175,1.2889004,0.48215848,0.9999229,0.33137104,0.0035105157,0.00024382716049382717
27.16539,42.5,100000,0.00734884148457013,0.5878217564351287,-0.18529906149442046,-12.561796080395386,6.390046810313298,0.9999999522738519,-9421.396039967667,-51883.61693104045,-3211.580097778521,72898477.238295,3,4.64,8.278839379549026,0.19259259259259262,1.2784374,0.6448442,1.0003839,0.3340153,0.0018747809,0.00024074074074074075
24.54324,43.5,100000,0.00599998200071263,0.5674113482269645,-0.18422651644941876,-9.522379579121317,5.049732811180048,0.9999999459909245,-9298.799080954866,-54231.219186594666,-4460.820188930181,49625595.05552833,4,6.35,8.438260227441788,0.19012345679012346,1.6105531,0.7799157,0.99969125,0.33996314,0.004808111,0.00023765432098765433
23.07708,46.5,100000,0.005089936535605039,0.5047800956019121,-0.1499250990687258,-6.844090007172455,7.855548065459117,0.99999995006748,-9312.410665808853,-50152.27878719502,-5237.79026422776,31357173.061563723,5,8.03,6.550776347517967,0.18765432098765433,1.3024783,0.68240905,0.9994461,0.3329631,0.004472468,0.00023456790123456788
31.18703,46.0,100000,0.008892763839037436,0.47920958419168386,-0.09419034071264351,-5.439520640202687,9.088545441982609,0.9999999538623853,-11987.455026774162,-67309.038575127,-5770.591425411508,72380748.45677067,6,9.69,3.965999010950327,0.1851851851851852,1.5411288,0.38557315,0.9995811,0.328829,0.001641251,0.0002314814814814815
28.95546,47.5,100000,0.006783706375206948,0.4749594991899838,-0.07854580090501985,-6.217448885476649,4.672547905862373,0.9999999513757488,-12003.627699387675,-68050.87787111134,-6216.289907030686,81754553.08238554,7,10.83,2.9978984054178,0.18271604938271607,1.3937138,0.6997,0.9999741,0.3281778,0.0028453367,0.00022839506172839507
23.97189,49.5,100000,0.0049134233846550275,0.4553591071821436,-0.08433903079227101,-8.31713451138568,3.8711350160939393,0.9999999418112026,-10774.945923553436,-40382.44548989274,-6666.049424186136,23809576.522011314,8,11.73,3.448342828080058,0.18024691358024691,1.5883168,0.61884546,0.99977076,0.32616737,0.004779146,0.00022530864197530865
27.36904,49.5,100000,0.004840596947872938,0.3919378387567751,-0.04921964818226469,-8.830760400923001,4.957376602835319,0.9999999550236086,-12011.359356441148,-60590.69285095666,-6934.720285623949,50022872.66735375,9,12.64,1.3029991290532053,0.17777777777777778,1.2622479,0.73928034,0.99968815,0.30490187,0.003896763,0.0002222222222222222
26.00352,46.0,100000,0.003045510001936266,0.29363587271745434,-0.10293519847006574,-5.662555954453579,5.809065811543595,0.9999999380558533,-11908.663236320774,-36404.816111599575,-7240.075713299295,25913347.463343184,10,13.57,4.321501150727272,0.17530864197530865,2.6541724,0.76278514,0.9999372,0.28234538,0.0032391164,0.00021913580246913581
144.03818,31.0,100000,0.007599238094832245,0.10212204244084881,-0.848733512559027,-4.334869456260255,2.137877541933813,0.9999999668983859,-46365.454320335375,-109386.10269256866,-7567.375350393708,860606544.3645095,11,14.53,40.62205231189728,0.17283950617283952,6.82693,0.78087664,1.0000592,0.123957284,0.002128542,0.0002160493827160494
184.71338,12.0,100000,0.011277950754555207,0.05669113382267645,-0.9430513119518132,-8.962604782095234,7.339981546645391,0.9999999670080885,-63989.95470838009,-145373.02454415525,-7655.867082303153,1042873475.731019,12,15.52,45.15451800823212,0.1703703703703704,3.2580488,0.7730436,1.0003608,0.090412736,0.001005628,0.00021296296296296298
