_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff1,diff2,diff3,diff_first,val1_-1,val1_-2,val1_-3,val1_first,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.887475,49.5,40000,-3,-3,100,0,-2.96406,0,0,0,nan,-6,-3.019103357,-0.033714234,-0.033714234,-6.021973863,-0.033714234,-0.033714234,-0.021973863,-0.021973863,-3,-2.994,0,-9766.920359,0.062173914,0.50100005,-1.06241747,-6.014855128,-0.001634841,0.999999903,1,0.25,20.11713445,0.195,1.1127378,0.74454343,0.9982835,0.3446935,0.00054328,0.00024375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.748125,28,40000,43.27845817,43.27845817,100,38.17321719,80.93319944,47.16632662,100.7835415,180.7471612,55.75940492,16.40728881,72.70187224,43.8251081,96.21525278,254.1746936,5.651890902,-4.568288701,237.7674048,237.7674048,-8953.217636,-8137.798944,-7343.838289,-18177.08104,0.081857177,0.249612481,0.349517601,-2.587051898,4.149448062,0.999999985,2,0.43,-6.848718137,0.19,5.1735964,0.9043107,0.9986049,0.2110229,0.001905356,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.394875,40.5,40000,-170.2804139,-170.2804139,100,-33.15161981,-201.3920743,16.4612336,-33.15161981,-232.1310171,14.28142616,-8.295463217,-172.4526524,-49.33781577,-49.33781577,-8.482334076,-16.18619595,-16.18619595,-0.186870859,-0.186870859,-8993.57143,-9357.157879,-9389.903316,-61381.04289,0.017792959,0.415070754,-0.093814059,-5.818472024,5.178065397,0.999999965,3,0.6,1.611132454,0.185,5.5810747,0.8946431,1.0004646,0.3169738,0.001987091,0.00023125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.182575,50,40000,35.04709193,35.04709193,100,23.04001555,57.66724332,39.95338467,23.04001555,80.01640529,28.79411474,-12.48288068,35.04680532,23.0405982,23.0405982,0.35039884,0.000582648,0.000582648,12.83327952,12.83327952,-9623.032986,-9749.227127,-9726.303146,-11915.92416,0.005551091,0.498674934,0.0160263,-3.389829669,4.859408398,0.999999953,4,0.84,-0.412488673,0.18,1.1428385,0.8986009,1.0000364,0.34625867,0.000196778,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.921875,49.5,40000,20.40844738,20.40844738,100,20.40844738,40.57240156,50.30130482,6.99939477,47.08573896,14.86521169,-87.91387911,8.832788597,8.832788597,12.29307929,-119.4352045,-11.57565878,5.293684518,-31.52132542,-31.52132542,-14041.27515,-14020.90752,-14719.16155,-11530.15488,0.004858131,0.49939997,-0.030015089,-4.685153491,3.158669458,0.999999954,5,1.05,0.454875521,0.175,1.1634696,0.8485676,0.99981934,0.34594056,0.000326099,0.00021875
