_AverageReward,_No_optimal_actions,Steps,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[1 1]adv2_,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.7497,49.5,40000,-172.25772589656574,-67.60095927354699,-370.5322054477599,-537.3105948407812,-339.46597951647004,0.06524859948056842,0.5034751737586879,-0.9803159213402161,-5.12784317664466,0.0,0.9999999989212562,1,0.2,18.625770926475525,0.19333333333333336,1.121389,0.79222304,0.9984681,0.34480146,0.0007302508,0.00024166666666666667
26.379175,51.5,40000,-1349.0327945595902,-1607.6953166991623,-1172.6662916996665,-1313.846286633677,-1114.0851052235444,0.00802540660932339,0.45977298864943245,-0.4266595060350471,-5.615262268724581,3.9804498428346524,0.9999999992929831,2,0.35,8.104143798351288,0.18666666666666668,1.0647796,0.9600231,0.99991405,0.34447825,2.3208402e-05,0.00023333333333333333
35.3608,42.0,40000,-1362.4912372911313,-1633.3000459743807,-1167.4947919194408,-1193.349729497785,-1209.4233731923837,0.001218198424745285,0.38229411470573527,-0.6248601037790635,-5.110142501640226,3.054884310023475,0.999999999228233,3,0.51,11.897171795368195,0.18000000000000002,1.018354,0.7916055,0.9999328,0.2962518,4.8885384e-05,0.00022500000000000002
94.395675,27.5,40000,-1362.4912372911313,-1633.3000459743807,-1167.4947919194408,-1193.349729497785,-1209.4233731923837,0.0007378745428202669,0.2311865593279664,-0.9251432894156274,-3.4176566663980212,7.685450902206006,0.9999999995706407,4,0.75,17.586094617843628,0.17333333333333334,1.0113537,0.8400086,0.9999983,0.18144494,1.0316033e-05,0.00021666666666666668
143.65525,16.0,40000,-1272.5444022649963,-1492.4584429617096,-1112.151442071928,-1125.0609659920344,-1088.4607450142935,0.0008075627333371568,0.15015750787539378,-0.9294347513508967,-3.5215913325291934,15.244669483639807,0.9999999996603398,5,0.97,17.67407190799713,0.16666666666666669,3.0211716,0.95293444,0.99969405,0.13048455,0.0006091878,0.00020833333333333335
142.529575,28.5,40000,-1131.5700590239449,-1303.8421880307385,-1022.0220216928114,-1038.495166132572,-993.4600930740402,0.0006284292622251565,0.23611180559027953,-0.7577177515230166,-3.7320793545855575,17.624763669833865,0.9999999996650633,6,1.19,14.414028644561768,0.16000000000000003,1.0150428,0.7436651,0.99993664,0.17273429,9.365954e-06,0.0002
107.3381,27.0,40000,-1131.5700590239449,-1303.8421880307385,-1022.0220216928114,-1038.495166132572,-993.4600930740402,0.00027989882353190635,0.23773688684434222,-0.7188075334203612,-3.8421033301859975,13.038522095280067,0.9999999994613575,7,1.41,13.672706127166748,0.15333333333333332,1.0175679,0.8404926,0.9999469,0.17362538,1.9770112e-05,0.00019166666666666665
36.95385,43.0,40000,-996.7196728868731,-1148.9310447690375,-920.6412751638544,-950.5736791183422,-877.9543484640091,0.00020861325193655887,0.4006200310015501,-0.1771174128092767,-5.681664736396185,10.029681342822851,0.9999999992655332,8,1.64,3.374535918235779,0.1466666666666667,1.0080667,0.93731856,1.0000046,0.30551285,7.640332e-06,0.00018333333333333336
27.8354,49.0,40000,-892.8428838899634,-1040.3147264253628,-823.2286554174414,-851.426826172707,-806.0887600477033,0.0001738677716808824,0.43797189859492974,-0.13796548382484086,-5.89557436688595,5.7296965920432426,0.9999999992036525,9,1.86,2.6119287312030792,0.13999999999999999,1.015384,0.96089923,0.9999939,0.3344115,1.5998789e-05,0.000175
30.0436,51.0,40000,-868.1916920303297,-1002.7691588605909,-820.4400212762918,-851.4741578286648,-781.3053842131469,0.00014626982901508177,0.44909745487274366,-0.16799345313853017,-5.708128104057304,4.126144394869907,0.9999999992696407,10,2.08,3.1831464767456055,0.13333333333333336,1.013394,0.8812606,1.0000315,0.33606997,1.6374528e-05,0.0001666666666666667
20.3301,50.0,40000,-773.876319631563,-883.4643584833356,-723.6822551213412,-757.5557514392808,-692.1629607507841,9.233517998564125e-05,0.47097354867743385,0.02699025467624657,-7.267269929645128,4.764555991529197,0.9999999990128972,11,2.29,-0.520103940856643,0.12666666666666668,1.1229155,0.95347834,0.9999537,0.345275,4.949846e-05,0.00015833333333333332
26.49125,51.5,40000,-715.4022328462577,-812.6433964307237,-667.4479941775354,-696.316191093679,-647.3108332519805,9.422518848998034e-05,0.46777338866943347,-0.09270591519521043,-7.955554313434561,4.9933984583836315,0.999999999213157,12,2.52,1.7609711959958076,0.12,1.0501444,0.9797334,1.0000341,0.3447538,1.8231885e-05,0.00015
24.0765,50.0,40000,-661.8372700198496,-753.4150387926019,-607.1611499786342,-625.3442983527176,-597.5470236174459,8.022941949910224e-05,0.46752337616880846,-0.03278614472405299,-5.626715085011429,4.796822143020744,0.9999999991619603,13,2.74,0.6251185759902,0.11333333333333334,1.0119954,0.9767038,0.9999998,0.3446002,1.7331922e-05,0.00014166666666666668
29.32225,48.0,40000,-609.0854550880857,-695.0992882555996,-558.0922906028686,-574.8162452036147,-556.9232382658371,0.00011423940930721453,0.4264463223161158,-0.06338369165262163,-4.85037012782008,15.913415598158725,0.9999999992973974,14,2.96,1.2203881777822971,0.10666666666666667,1.0092493,0.91706365,0.99997205,0.32587668,5.1284474e-06,0.00013333333333333334
26.815375,50.5,40000,-577.5768825138134,-660.5203758974599,-534.3265689076824,-551.9343804211117,-542.9081519878924,7.698898828383921e-05,0.47247362368118406,-0.083299701617603,-6.134761492908219,4.830073890247457,0.9999999992095004,15,3.18,1.5726163387298584,0.1,1.0243268,0.9513651,0.9999264,0.34479445,2.3331408e-05,0.000125
26.611,51.0,40000,-534.4923710391345,-604.5602536415246,-498.0691339259988,-515.5378832981944,-497.4362894733969,6.069205811034435e-05,0.4669983499174959,-0.04518371261095122,-5.867266002302369,4.989466393148542,0.9999999992270812,16,3.4,0.8707516603171825,0.09333333333333334,1.0327706,0.98731005,1.0000256,0.34406325,3.6690271e-06,0.00011666666666666667
23.520075,50.5,40000,-496.5873763773897,-557.41411852203,-466.63703412361895,-482.3600969243231,-467.1892239490386,6.215699292062999e-05,0.47024851242562127,0.022147359683245237,-6.123368272698965,5.678969350051902,0.9999999990841051,17,3.62,-0.41677948273718357,0.08666666666666667,1.0199637,0.9620073,0.99996316,0.3443308,4.2291736e-05,0.00010833333333333334
