_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3295,49.5,40000,-52,-49,-49,-7,-51.97531498,-49.06176811,-48.98596967,-48.98596967,0.02468502,-0.06176811,0.01403033,-41.98596967,0.060242209,0.502075104,-0.886865435,-4.706329223,0,0.999999999,1,0.31,16.84128326,0.196,1.0913287,0.8724295,0.99936384,0.34576046,0.000245432,0.000245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.53715,48,40000,-31.98689739,-35.41765191,-35.41765191,-0.039588929,-31.98704573,-35.41778054,-35.41778054,-35.41778054,-0.00014834,-0.00012863,-0.00012863,-35.37819161,0.06461775,0.516725836,-0.933633949,-4.737100103,1.907567702,0.999999999,2,0.55,17.75191379,0.192,1.0232874,0.9710077,0.9999377,0.3456465,1.75E-05,0.00024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.436225,48,40000,60.66777476,60.66777476,-50.48755009,15.33909028,140.8562349,140.8562349,-44.4757459,-44.4757459,80.18846014,80.18846014,6.01180419,-59.81483618,0.030679968,0.52040102,-0.043433191,-4.343198353,4.457409625,0.999999998,3,0.81,0.834021294,0.188,1.0282327,0.9744475,1.0000856,0.34615502,8.39E-05,0.000235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0762,49,40000,42.14686433,42.14686433,-82.83648487,-9.737594253,75.46159033,75.46159033,-111.4736517,-111.4736517,33.314726,33.314726,-28.63716683,-101.7360574,0.018511259,0.513125656,-0.011597352,-5.82193022,4.814173689,0.999999998,4,1.14,0.220167712,0.184,1.0197728,0.9854204,0.9999798,0.345927,2.04E-05,0.00023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.442,48.5,40000,25.47693237,-1.82575645,25.47693237,-33.96091651,25.47661106,-1.826423019,25.47661106,25.47661106,-0.00032131,-0.000666569,-0.00032131,59.43752757,0.009846508,0.521276064,-0.038748798,-4.153480302,4.654736266,0.999999997,5,1.48,0.763261787,0.18,1.0810956,0.94828826,0.99990135,0.3463456,0.000125609,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.364575,48.5,40000,9.529902194,9.529902194,9.529902194,-23.14483713,9.529902194,9.529902194,9.529902194,9.529902194,0,0,0,32.67473932,0.01571383,0.50480024,0.072135683,-4.502280886,4.226337268,0.999999997,6,1.82,-1.399133276,0.176,1.0287681,0.9653826,0.9998839,0.34610394,6.39E-05,0.00022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.535725,48.5,40000,71.19567577,114.0455018,17.07235541,-0.093151859,88.6613679,93.66397764,16.34541179,16.34541179,17.46569213,-20.38152416,-0.72694362,16.43856365,0.009983236,0.514375719,-0.251508219,-4.634138453,3.08828134,0.999999997,7,2.15,4.815646678,0.172,1.0242214,0.9742914,0.99990547,0.345776,5.71E-05,0.000215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.522875,48.5,40000,-37.31115887,-37.31115887,11.40322871,-28.41132193,-42.07817264,-42.07817264,16.08153849,16.08153849,-4.76701377,-4.76701377,4.67830978,44.49286042,0.004428428,0.521251063,0.273957357,-4.245871523,5.160619797,0.999999995,8,2.49,-5.224581212,0.168,1.0150027,0.97947824,1.0000035,0.34590942,5.70E-06,0.00021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.91485,48.5,40000,-2.710525299,-8.399771877,28.66634318,11.73297615,-1.135674584,-1.759858231,43.57467851,43.57467851,1.574850715,6.639913646,14.90833533,31.84170236,0.003095921,0.52460123,-0.062820492,-7.465288959,6.176930677,0.999999996,9,2.81,1.211150337,0.164,1.019836,0.9817922,0.9999968,0.34578374,5.75E-06,0.000205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.73795,49,40000,-10.10182269,-10.10182269,34.30621999,1.489962355,-10.10151332,-10.10151332,34.3065404,34.3065404,0.00030937,0.00030937,0.00032041,32.81657805,0.004644455,0.52440122,-0.021970895,-8.504313108,6.07783783,0.999999996,10,3.14,0.433439821,0.16,1.0189465,0.9806945,1.0000336,0.34568325,2.50E-05,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.956025,48.5,40000,2.523718199,4.846295347,4.846295347,-0.790518073,-1.718342209,9.745955291,9.745955291,9.745955291,-4.242060408,4.899659944,4.899659944,10.53647336,0.004982863,0.527101355,-0.016277811,-5.659219277,6.094718239,0.999999996,11,3.47,0.339626222,0.156,1.0340806,0.9463391,0.9998573,0.34443656,0.00017427,0.000195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.31255,48,40000,-21.38977628,-21.38977628,4.595388948,-3.333882707,-20.94310193,-21.77478472,-2.375428112,-2.375428112,0.44667435,-0.38500844,-6.97081706,0.958454595,0.005712678,0.539251963,-0.085806653,-6.007268469,7.211455966,0.999999996,12,3.8,1.593022186,0.152,1.0263108,0.9546991,1.0000039,0.3445193,1.02E-05,0.00019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.627625,47.5,40000,8.793831102,-1.931114755,-1.931114755,11.52335539,8.794114488,-1.930833761,-1.930833761,-1.930833761,0.000283386,0.000280994,0.000280994,-13.45418915,0.004373864,0.540852043,-0.043078611,-6.919764321,2.833538006,0.999999995,13,4.12,0.825238725,0.148,1.0170543,0.9796287,1.0000128,0.34435502,1.62E-05,0.000185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.4145,48,40000,15.17122939,-18.86452063,15.17122939,38.38961539,16.8834333,-17.35085551,13.89503428,13.89503428,1.71220391,1.51366512,-1.27619511,-24.49458111,0.003849598,0.545727286,0.144382663,-3.271793062,8.441737227,0.999999995,14,4.46,-2.750749134,0.144,1.0172871,0.9861964,0.99999493,0.34431288,1.19E-06,0.00018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.7811,49,40000,-27.99264218,-27.99264218,30.67571697,24.74325985,-24.47885029,-31.1360611,20.89004721,20.89004721,3.51379189,-3.14341892,-9.78566976,-3.85321264,0.002748764,0.545477274,-0.100662888,-12.03675142,5.048305508,0.999999994,15,4.79,1.914051753,0.14,1.0181894,0.9699301,0.9999988,0.34426105,3.18E-06,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2997,48,40000,-0.638422885,-4.879763267,-4.879763267,23.224023,-0.63785258,-4.880337978,-4.880337978,-4.880337978,0.000570305,-0.000574711,-0.000574711,-28.10436098,0.002273693,0.545577279,0.036965278,-8.555052422,8.102178787,0.999999993,16,5.12,-0.71317531,0.136,1.0090501,0.9929711,0.99996907,0.3445727,6.92E-06,0.00017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
