_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_-2,adv2_-3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,adv_-1_diff,adv_-2_diff,adv_-3_diff,adv_first_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.9308,49.5,40000,-7,-10,-11,-4,-7.022010438,-10.01800111,-11.02198284,-4.013991312,-0.022010438,-0.018001113,-0.021982839,-0.013991312,0.05325196,0.484499225,-0.871448244,-5.02614841,0,0.999999999,1,0.32,16.55354959,0.193333333,1.0236095,0.9800303,0.99991834,0.34646446,1.13E-05,0.000241667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.315375,49.5,40000,-31.62847921,37.73552192,55.80127583,4.595809276,-1.155794887,31.32477774,54.47471751,4.595809276,30.47268432,-6.410744176,-1.326558317,0,0.034910196,0.49239962,-0.893082137,-4.882326475,3.810727244,0.999999999,2,0.56,16.97254485,0.186666667,1.0561934,0.9323383,0.9998162,0.34625348,5.08E-05,0.000233333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.14815,50,40000,2.314907524,26.81477871,79.02226419,8.685265913,-6.43408933,16.5433617,87.77736091,6.301107194,-8.748996854,-10.271417,8.755096713,-2.384158719,0.008289643,0.484049202,-0.1091052,-4.158646216,4.044672978,0.999999997,3,0.81,2.08764632,0.18,1.054544,0.9569955,1.0000026,0.3463974,2.78E-05,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.670725,50,40000,-55.30868305,-55.30868305,16.4368459,-4.5176018,-46.67571907,-63.88289499,22.59151679,-4.5176018,8.632963984,-8.574211933,6.154670886,0,0.003742314,0.490374519,0.088261039,-4.106881799,5.52373545,0.999999996,4,1.1,-1.685449198,0.173333333,1.0383514,0.96125495,1.0000262,0.34633115,2.63E-05,0.000216667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.4083,51,40000,5.987840357,-15.70838022,-10.75121749,-33.01339251,5.988389898,-15.70865249,-10.75094685,-46.6443922,0.000549541,-0.000272272,0.000270641,-13.63099969,0.00875362,0.482349117,-0.222326821,-7.612911066,3.138215556,0.999999997,5,1.38,4.215372488,0.166666667,1.1387085,0.9058701,0.99987566,0.3464206,0.000168778,0.000208333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.41435,50,40000,-11.20095609,3.259317686,-53.80061301,-117.4211646,-11.20067687,3.259317686,-53.80061301,-117.4216521,0.000279218,0,0,-0.000487495,0.005956769,0.49359968,0.091437734,-5.377001209,8.385992157,0.999999997,6,1.68,-1.746440791,0.16,1.058048,0.9518687,0.99993885,0.34654891,4.36E-05,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.122175,49.5,40000,-27.91339565,-27.91339565,-20.29081944,-5.76924216,-41.8469999,-41.8469999,-41.49161374,-6.867907723,-13.93360425,-13.93360425,-21.2007943,-1.098665563,0.009670879,0.50100005,-0.241278538,-7.98610078,4.892497973,0.999999997,7,1.96,4.585091531,0.153333333,1.0201057,0.98190117,1.0000067,0.3465464,3.79E-06,0.000191667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.7128,49,40000,-23.49218964,-5.653861397,-23.49218964,40.29710174,-16.71299547,5.928366882,-30.29476962,24.24853879,6.779194162,11.58222828,-6.802579983,-16.04856295,0.006718561,0.497249862,0.193693785,-3.583431512,5.98003496,0.999999997,8,2.22,-3.653605118,0.146666667,1.0168635,0.9833597,1.0000144,0.34654897,9.41E-06,0.000183333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.3084,49,40000,46.60847823,102.3676988,102.3676988,-41.13373555,-12.39346491,151.1795818,151.1795818,-41.1340181,-59.00194315,48.81188309,48.81188309,-0.000282547,0.005153856,0.502525126,0.018720819,-5.148436447,3.358157327,0.999999997,9,2.49,-0.348844762,0.14,1.0143548,0.98554045,0.9999711,0.34653628,7.97E-06,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.654025,49.5,40000,-20.0734936,-12.8512426,-8.613606632,51.79502286,-20.0734936,-12.8509645,-8.613606632,59.48529878,0,0.000278096,0,7.690275928,0.005064592,0.499649982,-0.030705034,-4.598185278,5.785897035,0.999999996,10,2.75,0.609844564,0.133333333,1.0123608,0.987199,1.0000285,0.34654754,4.47E-06,0.000166667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.53525,49,40000,-1.940167837,-1.940167837,-1.940167837,155.6228525,-1.940733512,-1.940733512,-1.940733512,248.3768563,-0.000565676,-0.000565676,-0.000565676,92.75400385,0.006234195,0.500050003,-0.134490036,-6.764403986,4.238076498,0.999999997,11,3.03,2.566001631,0.126666667,1.0094355,0.989729,0.9999963,0.34653628,1.31E-06,0.000158333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.326225,49.5,40000,9.203005275,9.203005275,24.60730193,4.27566115,10.84546276,10.84546276,32.93832404,4.27566115,1.642457485,1.642457485,8.331022116,0,0.006992044,0.4979999,0.035161728,-6.128631281,7.107930699,0.999999997,12,3.3,-0.655096208,0.12,1.0090401,0.9898568,0.99998486,0.34651396,2.71E-06,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.57575,50,40000,49.23058647,25.78957132,25.78957132,14.01635566,49.22948161,25.78851903,25.78851903,14.01672567,-0.001104857,-0.00105229,-0.00105229,0.000370008,0.005795558,0.493274664,0.136886687,-6.2688805,4.741558166,0.999999997,13,3.57,-2.599435434,0.113333333,1.0142597,0.98688537,0.99998486,0.34654698,8.43E-06,0.000141667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.36935,50,40000,31.77658776,31.77658776,31.77658776,34.35106573,31.77658776,31.77658776,31.77658776,34.35186445,0,0,0,0.000798718,0.004165916,0.497274864,-0.082236075,-5.926569984,3.507037509,0.999999996,14,3.84,1.580110066,0.106666667,1.0139343,0.9876939,1.000013,0.34653565,3.01E-06,0.000133333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.82825,49.5,40000,21.9452289,-5.857540415,-30.44179741,15.34324916,21.9452289,-8.921389365,-34.77403323,3.662777916,0,-3.06384895,-4.332235823,-11.68047124,0.008121783,0.497949897,-0.081167695,-7.945402938,3.029661272,0.999999997,15,4.11,1.526707191,0.1,1.0209132,0.98090327,0.9999713,0.34654263,4.54E-06,0.000125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.2151,49,40000,-11.35784522,-11.35784522,-12.59185304,-49.20851112,-11.35731531,-11.35731531,-12.59185304,-61.84965735,0.000529916,0.000529916,0,-12.64114622,0.003240525,0.50580029,-0.16702768,-7.392627212,3.894295963,0.999999996,16,4.38,3.163890511,0.093333333,1.0189724,0.9789793,0.99986446,0.34649998,1.42E-05,0.000116667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.61065,49.5,40000,11.72000652,11.72000652,2.596666556,15.28855337,3.105959978,20.31615888,-7.400524998,15.28798813,-8.614046545,8.596152354,-9.997191554,-0.000565244,0.003067522,0.498099905,0.030159874,-4.318866038,5.478882728,0.999999995,17,4.65,-0.557959856,0.086666667,1.0159872,0.98534364,1.0000517,0.3465305,7.51E-06,0.000108333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.84665,49.5,40000,-8.74141672,5.503268202,-0.839302839,-18.4734061,-8.741700363,5.503553369,-0.839015121,-18.47406798,-0.000283642,0.000285167,0.000287718,-0.000661875,0.004498232,0.49539977,0.085591751,-5.648394753,4.794087302,0.999999996,18,4.92,-1.645055436,0.08,1.014466,0.9856505,1.0000373,0.3465026,5.96E-06,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.38385,49.5,40000,15.62144609,-16.47798613,-93.31114728,18.46589493,15.62203339,-16.47798613,-90.47666718,2.167999006,0.0005873,0,2.8344801,-16.29789593,0.005186582,0.493049652,-0.135567811,-6.55414046,5.244609829,0.999999997,19,5.2,2.594468012,0.073333333,1.0038002,0.99631387,0.99999905,0.34649706,1.48E-07,9.17E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.346475,50,40000,13.20735776,-34.28240352,-21.32671172,50.43580341,13.20650255,-34.28211837,-32.7446371,30.96853238,-0.000855207,0.000285153,-11.41792537,-19.46727103,0.011518904,0.491574579,0.001716948,-5.402404652,4.510681305,0.999999997,20,5.48,-0.033700686,0.066666667,1.0279254,0.96890837,1.0000535,0.3464699,6.25E-06,8.33E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.006375,50,40000,-18.39560054,21.76390642,21.29558739,22.59925279,-24.44308286,28.64739226,24.50751908,22.59896153,-6.047482319,6.883485841,3.21193169,-0.000291254,0.013899869,0.492499625,0.030222539,-6.175214889,7.443464356,0.999999998,21,5.75,-0.578086201,0.06,1.014006,0.98745334,1.0000004,0.3465165,1.89E-06,7.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.49185,49.5,40000,62.35211552,62.35211552,51.7826934,-45.66109232,51.61973661,51.61973661,61.13171383,26.40559206,-10.73237891,-10.73237891,9.349020423,72.06668438,0.007794717,0.494674734,-0.073432454,-7.702604982,5.074588265,0.999999997,22,6.02,1.416076135,0.053333333,1.0037558,0.9961679,0.99999726,0.34650552,2.12E-07,6.67E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.58845,49,40000,-17.70252766,-3.276664141,-17.70252766,2.170106705,7.487453164,15.50337556,-43.717024,2.170971571,25.18998083,18.7800397,-26.01449633,0.000864866,0.013004303,0.493149657,0.104835137,-5.496913157,10.34810834,0.999999998,23,6.3,-1.993572943,0.046666667,1.0021967,0.9977831,1.000003,0.34650326,1.85E-07,5.83E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.57885,49.5,40000,76.21281189,-85.27441751,-85.27441751,-49.38521313,88.99927026,-97.67691396,-72.83670866,-47.306457,12.78645837,-12.40249645,12.43770885,2.07875613,0.007523229,0.494174709,-0.061095101,-5.394312776,8.591086492,0.999999997,24,6.58,1.14738496,0.04,1.0073944,0.9917325,1.0000024,0.34649843,7.22E-07,5.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.27405,49.5,40000,0.021145877,32.41754929,32.41754929,-31.55620633,16.71340493,42.87468217,42.87468217,-16.80192091,16.69225905,10.45713288,10.45713288,14.75428542,0.005753252,0.494249712,0.006720109,-6.253685015,4.061091542,0.999999997,25,6.86,-0.139143846,0.033333333,1.0100648,0.99099493,1.0000032,0.3465102,9.79E-07,4.17E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5706,49,40000,-102.2568028,32.51973709,37.32167465,40.98723275,-160.966828,32.51973709,37.32117719,40.98663816,-58.7100253,0,-0.000497461,-0.000594587,0.009505977,0.495524776,0.121673884,-5.767748407,5.561661176,0.999999998,26,7.13,-2.312221527,0.026666667,1.0050291,0.9958488,0.9999988,0.34651414,5.01E-07,3.33E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.12615,49.5,40000,85.96781425,27.16952687,4.309421653,23.55587368,143.5564423,4.410176576,7.431919258,2.80927619,57.58862803,-22.75935029,3.122497605,-20.74659749,0.007592717,0.498374919,-0.083496479,-8.244517472,4.19358425,0.999999997,27,7.42,1.581298433,0.02,1.0009539,0.9990426,1.0000008,0.3465157,7.60E-08,2.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.225725,49,40000,23.94339094,-9.6448151,-9.6448151,29.08028946,23.94399742,-9.644226766,-9.644226766,36.98521758,0.000606484,0.000588334,0.000588334,7.904928118,0.004728565,0.493449672,-0.015704526,-6.931906819,4.627315697,0.999999996,28,7.7,0.310431011,0.013333333,1.005091,0.99527216,0.99999523,0.34651205,8.09E-08,1.67E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.537325,49,40000,67.80759085,89.69098571,78.26595994,24.89236807,83.21040284,72.20622214,91.92464254,24.89236807,15.40281199,-17.48476357,13.6586826,0,0.004180658,0.499699985,0.078483252,-4.620689227,6.41547558,0.999999996,29,7.98,-1.508801498,0.01,1.0010297,0.9990047,1.0000001,0.34651166,4.90E-09,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.2531,48.5,40000,84.52241199,-25.49063993,-6.008796093,19.7992073,84.5221025,-25.49032724,-6.008487273,19.79858732,-0.000309489,0.000312682,0.00030882,-0.000619974,0.003885983,0.492149607,-0.007560249,-5.687727265,7.991973434,0.999999996,30,8.27,0.15676108,0.01,1.0015421,0.9984289,1.0000007,0.34651437,1.54E-08,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,average:,5.779721988,3.600141794,3.529516312,5.275664925,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
