_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.3495,49,40000,-60,-60,100,-63,-122.2812,51.52059352,-66,-186.8162712,35.32882846,-34,-59.95619032,-62.96568935,-65.96277873,-34.12185472,0.04380968,0.034310646,0.037221269,-0.121854718,0.055090054,0.495924796,-0.852276391,-4.207857026,0,0.999999999,1,0.43,16.16788602,0.19,1.1811378,0.7689424,0.99917233,0.34558246,0.000467082,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.968275,47.5,40000,55.71598329,55.71598329,100,55.71598329,110.7644891,50.30130482,24.62462973,134.0621602,18.36806873,31.8320941,69.6815192,41.46512676,26.07239219,111.5998232,13.96553591,-14.25085652,1.447762456,79.76772906,0.026962314,0.514075704,-0.742758992,-4.11676953,2.315440953,0.999999999,2,0.67,14.10736328,0.18,1.0656338,0.92079705,1.0000108,0.3459245,3.31E-05,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.6118,46,40000,29.25558949,29.25558949,100,48.69064133,77.59574886,62.74910938,29.25558949,105.9217413,27.6200043,136.6227814,29.25558949,48.69064133,29.25558949,136.6234803,0,0,0,0.00069883,0.010130231,0.529751488,-0.06685322,-4.000066848,3.446656119,0.999999998,3,0.87,1.276712948,0.17,1.0834401,0.95722616,0.99992734,0.34521127,2.18E-05,0.0002125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.94345,47.5,40000,-52.3085408,-52.3085408,100,-52.3085408,-103.9904253,50.30130482,-57.21633694,-159.9609569,35.76893889,24.00219241,-52.30824816,-52.30824816,-57.21605303,24.00246303,0.000292643,0.000292643,0.000283906,0.000270618,0.005012414,0.51500075,-0.020438587,-6.367867969,4.858584501,0.999999998,4,1.19,0.388150882,0.16,1.0431322,0.90985394,1.0000376,0.3457626,1.15E-05,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.177725,48,40000,5.630228501,5.630228501,100,7.181430464,12.74420883,56.35053977,7.808240369,20.39977358,38.27611292,-68.68378904,-3.177601873,19.07141872,-1.255870289,-68.68417573,-8.807830374,11.88998825,-9.064110658,-0.000386697,0.003235912,0.51860093,0.115940443,-8.060594559,3.547005799,0.999999997,5,1.67,-2.227578431,0.15,1.0564795,0.9063454,1.0000272,0.345202,8.28E-05,0.0001875
