_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv2_-2,adv2_full_-2,adv2_-3,adv2_full_-3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff1,diff2,diff3,diff_first,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.9221,51,40000,-3,-3,-3,-5.96406,0,-5.892610561,-19,-3.001898085,-3.001898085,-0.006149643,-19.03064258,-0.001898085,-0.001898085,-0.006149643,-0.030642576,0.053635649,0.48119906,-0.897765203,-6.052974866,0,0.999999999,1,0.2,17.02982193,0.19,1.0926342,0.8425337,0.9993245,0.34460294,0.000216417,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.00045,51,40000,-65.17501131,-65.17501131,-107.1203051,-171.5145197,-0.10996568,-169.5697415,-37.18968691,-23.99431032,-188.9912377,74.90717454,-14.13571809,41.18070099,-81.87093263,75.01714022,23.05396882,0.031214009,0.448097405,-0.743209743,-3.611635796,2.365836236,0.999999999,2,0.33,14.12410957,0.18,1.0599087,0.9635976,0.9998497,0.34135354,0.000208502,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.1458,50.5,40000,-120.0953174,-120.0953174,-120.0953174,-238.751893,32.30456512,-203.5870802,6.513851572,-120.0947084,-120.0947084,32.30425256,0.991510866,0.000609023,0.000609023,-0.000312561,-5.522340707,0.00772626,0.473748687,-0.002827715,-4.646373396,2.901516682,0.999999998,3,0.47,0.060164772,0.17,1.0395393,0.9731298,0.99996924,0.3448025,2.99E-05,0.0002125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.5642,51,40000,31.26569885,31.26569885,-10.52729586,20.36383993,31.26569885,51.38557998,3.498408898,46.43524134,20.70392759,46.43524134,3.49809692,15.16954249,31.23122345,15.16954249,-0.000311979,0.005803254,0.469098455,-0.10255846,-4.94792641,2.254491895,0.999999997,4,0.67,1.917525634,0.16,1.0187731,0.95130646,1.0000619,0.34345654,3.65E-05,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.837175,47.5,40000,-45.45893318,-45.45893318,0.103327711,-44.81100745,-1.117550053,-45.39172164,18.65176418,-31.82605452,16.94823459,15.70555309,26.28945916,13.63287866,16.84490688,16.82310314,7.637694985,0.00417154,0.447022351,-0.165436561,-5.698283029,2.504761216,0.999999997,5,0.88,3.130022302,0.15,1.5561116,0.96482354,0.99990946,0.33033296,0.00012,0.0001875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0474,51,40000,6.816775056,6.816775056,-16.54126937,-9.806159283,-16.54126937,-26.22995087,19.27393755,-17.56826053,5.040369058,5.040369058,19.27393755,-24.38503558,21.58163843,21.58163843,0,0.003432838,0.472223611,-0.132671929,-4.56846528,3.484371147,0.999999996,6,1.08,2.532440372,0.14,1.023321,0.9498571,0.999929,0.34354696,1.53E-05,0.000175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.84545,50.5,40000,13.84220175,13.84220175,-0.060093193,13.61627898,13.60056776,27.05372372,-67.60046289,13.8424944,-0.059803418,13.60085884,-39.874414,0.000292648,0.000289775,0.000291081,27.72604888,0.00345538,0.471548577,0.138750159,-5.742739955,4.126377982,0.999999997,7,1.28,-2.653068304,0.13,1.0170561,0.95689917,0.99997044,0.34353745,4.28E-05,0.0001625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.559075,51,40000,-11.48190049,-11.48190049,41.50960722,30.1652599,41.50960722,71.31348731,25.37250933,-8.924343319,64.84245448,19.55141365,25.37278756,2.557557175,23.33284725,-21.95819357,0.000278227,0.002319602,0.458422921,-0.162570523,-5.649279658,4.808265804,0.999999996,8,1.49,3.10064964,0.12,1.021198,0.96189827,0.99996454,0.34114024,3.63E-05,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.236125,49.5,40000,16.63183045,16.63183045,-7.771051362,8.661529755,-7.771051362,0.786713267,17.14023279,17.41198177,-6.180284706,-6.180284706,26.78384361,0.780151321,1.590766657,1.590766657,9.64361082,0.001564233,0.453472674,0.148656545,-4.09014557,4.097300571,0.999999995,9,1.7,-2.83889351,0.11,1.0322083,0.83877945,1.0000798,0.3391795,0.000151833,0.0001375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.908025,51,40000,2.691459614,2.691459614,1.336048543,3.995264471,-43.51015165,-39.56275044,7.810653201,-1.380374002,-2.730257813,-39.72064488,22.35777936,-4.071833616,-4.066306355,3.789506767,14.54712616,0.001452428,0.444497225,-0.097647906,-4.621442191,3.425592713,0.999999995,10,1.9,1.862787068,0.1,1.0205072,0.9856998,0.99998564,0.34040746,5.27E-06,0.000125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.012925,50.5,40000,-16.15716594,-16.15716594,12.89361473,-3.06998836,-16.15716594,-19.19037584,-39.00703671,-25.35762298,11.07706492,-7.808124593,-39.00746171,-9.200457046,-1.816549806,8.349041345,-0.000425006,0.001638272,0.445472274,-0.063741086,-6.407764148,5.679594907,0.999999995,11,2.11,1.215014342,0.09,1.0318526,0.99254096,1.0000123,0.34044406,3.76E-06,0.0001125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.866825,50,40000,-14.28649997,-14.28649997,-14.28649997,-28.40184767,-14.28649997,-42.34809351,4.835737063,-14.28621393,-14.28621393,-14.28621393,4.835160573,0.000286042,0.000286042,0.000286042,-0.000576489,0.001057762,0.440122006,0.246619089,-6.265395962,4.80283808,0.999999994,12,2.31,-4.672130719,0.08,1.0131334,0.9207961,0.9999953,0.33904862,1.19E-05,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.30505,40.5,40000,-3.971193137,-3.971193137,-60.0313196,-63.95493784,6.688396683,-56.50036101,6.728412495,-2.370989338,-71.98961633,17.91643077,7.996720853,1.600203799,-11.95829673,11.22803409,1.268308358,0.002074516,0.339566978,-0.442817873,-4.585436525,2.474435581,0.999999996,13,2.52,8.401844174,0.07,1.0088592,0.920581,0.9999904,0.26973835,2.78E-06,8.75E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.5739,20.5,40000,5.306987201,5.306987201,3.528368603,8.771778097,1.776210398,10.44290259,58.00448083,5.271573899,3.49573139,1.74286205,58.00701303,-0.035413302,-0.032637214,-0.033348347,0.002532194,0.003726281,0.149782489,-0.435329171,-6.40272374,2.999919661,0.999999997,14,2.74,8.28312555,0.06,1.0047896,0.9268655,1.0000162,0.13025816,2.93E-06,7.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.4232,43,40000,-43.02767844,-43.02767844,-43.02767844,-85.53988528,-43.02767844,-127.5427959,-3.702668148,-5.093918734,-89.86800566,-5.093918734,0.366087333,37.9337597,-46.84032722,37.9337597,4.068755482,0.001785112,0.373343667,-0.019365008,-4.433988082,4.062632861,0.999999996,15,2.95,0.339050024,0.05,1.0296699,0.99736905,0.99999744,0.3019653,1.04E-06,6.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.3359,50.5,40000,-4.818524059,-4.818524059,-11.00882049,-15.76961863,-4.818524059,-20.39922266,-20.44072079,-4.818241179,-11.00910791,-4.818241179,-27.868653,0.000282879,-0.00028742,0.000282879,-7.427932208,0.002389657,0.41879594,-0.003056194,-4.233538094,5.030196995,0.999999996,16,3.16,0.062338943,0.04,1.066363,0.99451685,0.9999902,0.3304465,3.45E-06,5.00E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.046425,50,40000,7.193364463,7.193364463,-23.24868792,-16.14149997,-49.46563294,-65.41375773,9.657343391,7.193670654,-23.24898562,-49.46563294,9.657920731,0.000306191,-0.000297694,0,0.00057734,0.004437814,0.450047502,0.140120486,-5.701920093,5.017816995,0.999999997,17,3.36,-2.631954201,0.03,1.0021507,0.9935571,1.000003,0.34287104,3.80E-07,3.75E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.13355,50.5,40000,22.37999163,22.37999163,22.37756685,44.48944618,34.9939734,78.95043601,3.395973306,22.20294334,22.18753813,34.83512799,3.395973306,-0.177048293,-0.190028716,-0.158845412,0,0.00324428,0.44059703,-0.044923974,-4.00335101,4.100162696,0.999999996,18,3.57,0.853918819,0.02,1.0031632,0.976645,0.99999374,0.3362932,5.98E-07,2.50E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.88865,36.5,40000,14.35477193,14.35477193,-8.98455461,5.198247154,7.273852292,12.40982444,-0.653529578,4.112856089,-8.3756834,9.456227823,-0.653255927,-10.24191584,0.608871211,2.182375531,0.00027365,0.002319618,0.312440622,-0.115101584,-5.822715819,3.978643874,0.999999996,19,3.78,2.198330149,0.01,1.0087013,0.99835074,1.0000025,0.24646711,8.76E-08,1.25E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
