_AverageReward,_No_optimal_actions,Steps,adv2_1485,adv2_full_1485,state1_1485,state2_1485,adv2_2091,adv2_full_2091,state1_2091,state2_2091,adv2_10932,adv2_full_10932,state1_10932,state2_10932,adv2_13004,adv2_full_13004,state1_13004,state2_13004,adv2_18871,adv2_full_18871,state1_18871,state2_18871,val_NN1485,val_NN2091,val_NN10932,val_NN13004,val_NN18871,adv1_1485,adv1_2091,adv1_10932,adv1_13004,adv1_18871,diff1485,diff2091,diff10932,diff13004,diff18871,val1_1485,val1_2091,val1_10932,val1_13004,val1_18871,val2_1485,val2_2091,val2_10932,val2_13004,val2_18871,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.703975,51,40000,-52,-3344.365348,17,1,-105,-8758.020071,33,6,-3,-169.9393739,1,0,-74,-3638.423232,24,2,-8,-1469.1629,1,5,0,0,0,0,0,-52.00128528,-105.0060235,-2.978285769,-74.00642604,-7.991576787,3292.364063,8653.014048,166.9610882,3564.416806,1461.171323,-34234.85679,-52050.42494,-195.337424,-5954.974806,-5207.874883,-3344.365348,-8758.020071,-169.9393739,-3638.423232,-1469.1629,0.0502392,0.484099205,-0.995642077,-5.927572756,0.002182491,0.999999931,1,0.34,18.9145745,0.193333333,1.031446,0.97170484,0.99982226,0.34652606,0.000104908,0.000241667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.3148,49.5,40000,59.14015975,-388.3768768,4,1,59.14015975,-2700.116169,4,1,4.201728032,1282.031197,2,0,-162.8982177,-876.4171634,2,4,146.3289011,659.8211283,24,4,-2632.355,-2632.355,-1013.375,-2814.684,-24982.777,116.9722334,0.329991899,4.201668238,-188.0994749,135.9043945,505.3491102,2700.446161,-1277.829529,688.3176885,-523.9167338,-14903.44413,-14345.53603,3729.549167,-5827.742566,-17480.50322,-246.9639492,-347.087844,-2721.149663,-1508.857271,-6196.082735,0.050316907,0.501675084,-0.047735156,-5.47976416,3.920407559,0.999999982,2,0.8,0.818763616,0.186666667,1.079929,0.9176945,0.99995154,0.34644407,0.000106876,0.000233333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.663775,50,40000,36.10672665,734.3360983,9,6,-187.2393662,860.7006094,10,0,14.29564194,1454.32457,1,1,6.365705647,-536.0841813,25,7,-73.91246825,-1373.721898,0,0,-12272.531,-8397.109,-8033.292,-23920.676,-7624.737,139.8158934,-187.2393662,14.2958808,27.44696155,-73.91269769,-594.5202049,-1047.939976,-1440.028689,563.5311428,1299.8092,-8116.2491,-7919.495972,-5341.827409,-26636.07432,-8019.620591,-1269.751061,-605.6277781,-871.2775417,-5712.122673,0,0.010249914,0.490724536,-0.033493724,-3.05479864,4.076860049,0.999999978,3,1.34,0.407695412,0.18,1.1185459,0.90261984,0.9999377,0.3463074,0.000555278,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4261,49,40000,27.05717716,358.252901,5,2,27.05717716,-573.5835754,5,2,49.1437665,-475.1293902,9,3,65.98049254,209.9016412,4,1,27.05717716,-2006.787567,5,2,-10142.391,-10142.391,-11330.939,-9636.373,-10142.391,-4.418323269,56.73430376,74.05967954,21.41235715,56.73430376,-362.6712242,630.3178792,549.1890697,-188.4892841,2063.521871,-10478.39914,-12415.92836,-13062.95509,-10513.86755,-16723.60004,-531.3398615,-176.6031752,-2357.574532,-2257.103411,-2565.917005,0.004030749,0.514450723,-0.026704619,-5.393798781,4.600616641,0.999999968,4,1.84,0.400344784,0.173333333,1.0723891,0.9302994,0.9999168,0.34516287,0.000410031,0.000216667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.982525,49,40000,-29.41553349,102.236244,18,3,10.24599001,614.7938079,22,2,6.962324888,1155.732947,0,6,-35.81653672,-496.8330997,1,1,114.0926104,-629.5928099,9,1,-19119.55,-22408.559,-10729.879,-9608.795,-12354.672,5.174385682,2.939598868,6.962324888,-35.81682403,151.540679,-97.06185833,-611.854209,-1148.770622,461.0162757,781.133489,-17617.14347,-20325.18887,-9610.854363,-10115.26161,-11986.30987,-6189.946482,-6587.701794,-244.7417472,-143.4325856,-2512.275465,0.002721502,0.526426321,0.015378432,-6.460574237,5.41680895,0.99999996,5,2.29,-0.32143512,0.166666667,1.0887686,0.91742325,1.0001395,0.34544995,0.000145423,0.000208333
