_AverageReward,_No_optimal_actions,Steps,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
27.216625,49.0,40000,-241.06344813760728,-87.09186542424654,-443.95376045909177,-698.1273936946799,-964.0490867094467,0.06285353356487,0.5096754837741887,-0.9911814989566377,-5.070774016644726,0.0,0.9999999989862846,1,0.25,18.801616847515106,0.196,1.1009575,0.87031335,0.99920726,0.34593835,0.00028270914,0.000245
25.149525,49.0,40000,-1540.0029312303898,-1702.642837822286,-1371.8360410918172,-1327.3898745585702,-1204.946171094275,0.004283765556255447,0.4677233861693085,-0.32643399133337747,-4.984730453145818,3.8819058830522555,0.9999999993260126,2,0.45,6.202352792024612,0.192,1.2580103,0.93764526,1.0000948,0.34321472,0.00029137204,0.00024
27.316125,50.0,40000,-1493.528523725086,-1629.57238405834,-1334.7802990991006,-1299.4711960663028,-1166.7011547145573,0.0007063534588931986,0.4872493624681234,-0.378591569525236,-4.685635358799848,3.6217021186046363,0.999999999231677,3,0.64,7.195453941822052,0.188,1.125551,0.9457891,0.9999544,0.34609586,1.6713384e-05,0.000235
34.156325,49.0,40000,-1373.0760084673234,-1500.1699382187246,-1235.7651236531206,-1204.6259912542778,-1138.688682981659,0.00036985802932776427,0.4991499574978749,-0.37970249409284573,-5.258920157391135,3.629623118008586,0.9999999993451071,4,0.88,7.2187497317790985,0.18400000000000002,1.0237615,0.9822923,0.9999865,0.3460551,8.718533e-06,0.00023
39.721875,49.5,40000,-1276.9541371183197,-1394.4739926106154,-1180.8907763810005,-1158.90765226363,-1105.2812553691047,0.00026324819350055553,0.4983999199959998,-0.3754407982901004,-5.84184395524274,3.7432481415331917,0.9999999993677379,5,1.12,7.14003324508667,0.18000000000000002,1.040238,0.9728216,1.0000236,0.34578863,1.27286e-05,0.00022500000000000002
24.1877,50.0,40000,-1111.1401445199815,-1223.5845671460725,-1062.6072926605736,-1029.0235198336325,-972.2137972390976,0.00011180897551224304,0.49699984999249963,-0.19334545569465741,-6.304890147199581,5.35551616047051,0.9999999991879649,6,1.37,3.6786928176879883,0.17600000000000002,1.0261108,0.981702,0.9999803,0.34633285,7.35984e-06,0.00022
21.45635,49.0,40000,-965.7648961576798,-1072.5688703768844,-905.801169978047,-884.6108447307463,-856.7238288933032,7.668651638798393e-05,0.4934496724836242,-0.11117483375713444,-6.076026653016534,5.343368993904296,0.9999999991099103,7,1.61,2.1041983515024185,0.17200000000000001,1.023478,0.96848404,0.9999324,0.34618556,3.0478093e-05,0.000215
20.1652,50.5,40000,-838.857098223328,-929.3381813555743,-793.0029069376594,-766.5022822882152,-722.5447401381364,8.439281438080399e-05,0.4811240562028101,-0.05956594466116045,-7.439218766353271,5.656902866657081,0.9999999989920728,8,1.84,1.1335144117474556,0.168,1.0190562,0.98478997,0.99998826,0.3461263,2.5113157e-05,0.00021
23.926975,50.5,40000,-761.2302022230112,-834.5003461234196,-722.7603565447922,-714.6335671283375,-653.2399254810455,6.212635420710476e-05,0.4885744287214361,-0.08617983746776657,-8.029534135265228,4.785323574054209,0.9999999991873155,9,2.08,1.6424471214413643,0.16400000000000003,1.0698278,0.89986444,0.99998575,0.34586933,9.0644404e-05,0.00020500000000000002
28.600575,50.0,40000,-720.7553589801645,-792.8599166326014,-687.6111359177257,-682.4899997098527,-621.3076949538246,7.757740646140778e-05,0.47454872743637183,-0.12936902161687522,-6.0280539267115945,13.524080245225464,0.9999999993354781,10,2.31,2.4757158756256104,0.16000000000000003,1.1042905,0.95106304,0.9998464,0.3457471,5.136327e-05,0.0002
