_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[12  1],[12  1]1 action taken,[12  1]adv,[11  3],[11  3]1 action taken,[11  3]adv,[2 2],[2 2]1 action taken,[2 2]adv,[16  1],[16  1]1 action taken,[16  1]adv,[7 4],[7 4]1 action taken,[7 4]adv,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
26.72326,50.0,100000,0.042060891143600565,34,0,-336.3472294311914,69,1,-389.1849237404291,384,0,-60.4375577489205,458,0,-523.8682548304777,1646,0,-234.45289132580598,0.48526705341068216,-0.9729368139017617,-6.886067142292321,6.394875037754126e-17,0.9999999929756204,1,0.53,46.53317320346832,0.196,1.1859431,0.7779378,0.99805677,0.34448698,0.0024797325,0.000245
24.45672,47.0,100000,0.0019810813233114006,1164,1,-751.6528575786815,1534,1,1926.58590406506,87,0,533.5818756232662,2898,1,-1152.9045902752173,1477,0,-1601.094865922412,0.5405681136227245,-0.07294328179534411,-7.049400453297184,6.837915549142644,0.9999999986480189,2,1.0,3.5318137407302856,0.192,1.0261415,0.95496786,0.9999857,0.34507886,3.2658016e-05,0.00024
21.35132,48.0,100000,0.0002697928217831652,1193,0,105.60847520710615,1233,1,2096.6126702680767,36,1,154.21279539969643,1985,0,2987.5900675008475,176,0,940.7302639685731,0.5349469893978795,-0.055399097773136285,-8.158897980413379,6.8178038017495926,0.9999999984088658,3,1.49,2.6525533851236105,0.188,1.0784671,0.87033546,1.0000275,0.34203625,0.0010071221,0.000235
24.45518,46.5,100000,0.0001073464540486797,521,0,2760.231312565573,912,1,-488.0962388291846,135,1,-118.53094379357813,2365,0,1919.6771890638647,320,1,-1442.878315805373,0.5680336067213443,-0.05737068746232828,-6.891853756806201,6.926268782161337,0.9999999984872663,4,2.04,2.7351809795945883,0.18400000000000002,1.0487671,0.96892405,0.99996406,0.3418275,1.3665008e-05,0.00023
25.97272,46.5,100000,5.240762249448685e-05,2,0,672.0893344559589,58,1,-2567.661796924826,1013,0,-98.31975189977383,41,0,1880.1923635650562,967,1,-2215.6243472587757,0.5683536707341468,-0.038283178180908005,-7.11761371678147,18.12962194663949,0.999999998567818,5,2.58,1.830126135610044,0.18000000000000002,1.1067517,0.83685476,1.000065,0.34006977,0.00020283781,0.00022500000000000002
21.73373,46.5,100000,3.265523661836954e-05,664,0,461.1695258842984,699,1,-796.844560731181,52,0,62.39947550888684,1340,0,196.18446456013191,476,1,-1413.6060678859278,0.578615723144629,-0.016752842330477802,-7.60165503671584,20.190312965939167,0.9999999983412988,6,3.13,0.7855834350921214,0.17600000000000002,1.0525427,0.9252123,1.000006,0.3399319,0.00011075186,0.00022
23.30488,46.0,100000,2.499965973841842e-05,207,0,127.59260738349349,314,0,611.4290844811487,112,1,315.41332264135804,225,1,-1519.0542179234042,963,0,447.10238009276196,0.581126225245049,-0.030739824075862242,-7.818257514954644,6.683610194557192,0.9999999983291736,7,3.68,1.500964555889368,0.17200000000000001,1.0212071,0.9630606,0.9999759,0.33967412,2.0486383e-05,0.000215
27.62074,45.0,100000,2.636585561682786e-05,811,0,532.0536696828747,430,0,415.2123711041176,64,0,-337.6655810117267,1873,1,996.0853185932726,447,0,952.4146949441067,0.5813562712542508,-0.0359603969128065,-8.396971186804873,8.28764209836847,0.9999999984861371,8,4.23,1.7058771271258593,0.168,1.1189653,0.94003934,1.0002147,0.34211388,0.00050002156,0.00021
27.83709,45.0,100000,2.2850587433674234e-05,153,1,647.5707618120582,2095,0,777.3272554715975,279,0,-416.8058343637162,3647,0,-1285.7707174173077,79,1,-1054.4177184397315,0.563492698539708,-0.02002169360168064,-7.468033057451997,14.026042944612506,0.9999999985582123,9,4.78,0.9552647285163403,0.16400000000000003,1.117914,0.9448972,1.00006,0.34229103,7.944126e-05,0.00020500000000000002
22.87208,45.5,100000,1.4599349153677836e-05,1306,0,844.9868953331136,885,0,51.13183480327177,43,1,277.54098420679827,2102,1,-1306.7022964130267,317,1,-309.76885624316174,0.5611722344468894,-0.01242928384419844,-7.798266012438765,8.023705706984504,0.9999999982030946,10,5.34,0.5876752859912813,0.16000000000000003,1.0504622,0.9360564,1.0000895,0.3405786,0.00031720928,0.0002
26.65398,45.5,100000,1.7268254051472647e-05,624,1,-1514.3170270230667,605,1,-1821.7755650690083,156,0,-250.55274009019473,38,1,-2304.959801584667,780,1,-1214.1814320632452,0.5775455091018203,-0.016553319409490046,-7.43965270361686,7.05704194114788,0.9999999984381671,11,5.89,0.7987643568776548,0.15600000000000003,1.1495774,0.9250337,0.9999128,0.3415589,0.00016494996,0.00019500000000000002
26.59547,45.5,100000,1.4492629974952163e-05,575,1,1573.9658424112235,560,0,-370.6400553456933,167,1,5.478190107976928,638,1,-404.8260531533897,313,0,982.3559395460384,0.5701740348069614,-0.019308874616361767,-8.416315647847926,6.528316144499572,0.9999999984092012,12,6.45,0.9110844065435231,0.15200000000000002,1.1040561,0.83696496,1.0000235,0.3363948,0.0009135084,0.00019
28.04719,44.5,100000,2.0491077607383882e-05,1018,1,1006.6083111198554,909,0,-1460.1880583510392,122,1,373.2265755339549,567,0,843.7233685352796,815,0,-999.8248389549494,0.5983996799359872,-0.02188547112772134,-7.682698076558761,7.6981151569053825,0.9999999984715078,13,7.01,1.051306177629158,0.148,1.0762177,0.8752131,0.99997467,0.33257914,0.0003232982,0.000185
28.04191,43.5,100000,1.7925905749982217e-05,185,1,-1554.9268295371353,1871,1,-792.9910373788562,423,1,79.11916153797851,330,1,590.8632233194838,3505,0,1215.631593516975,0.6157831566313262,-0.01760544435668312,-7.378901907779217,6.585174068696212,0.9999999984773746,14,7.56,0.8213810825254768,0.144,1.0407665,0.97636896,0.9999982,0.3351126,0.00012125115,0.00017999999999999998
25.48167,45.0,100000,1.3930571965021429e-05,193,1,-161.43278371077724,62,0,983.3352464933832,351,1,57.231648651905516,116,0,1769.0402564351496,1324,0,1085.0740417502761,0.6045109021804361,-0.010948069706756852,-7.936404077935278,7.117025341474661,0.9999999983967347,15,8.12,0.5675126565620303,0.13999999999999999,1.1414789,0.93394214,0.9999236,0.33989203,0.000656073,0.000175
26.4424,46.0,100000,1.4660184813850388e-05,525,1,2630.1260357507053,756,1,1571.7832044301124,457,1,363.0441317106711,864,1,2007.7235398859166,143,0,519.1049402235699,0.5809461892378476,-0.0071356576332518035,-9.817893485354164,7.2626315927321885,0.9999999983734361,16,8.68,0.3699509920552373,0.13599999999999998,1.0404398,0.9813595,1.0000198,0.33949968,1.20565255e-05,0.00016999999999999999
25.71096,46.0,100000,1.7047061299475568e-05,84,0,-1640.3009890594133,173,1,1680.7043891274707,285,0,-351.13508456706415,772,1,784.6398135994968,359,0,520.8402651108397,0.5792058411682336,-0.009397110464464316,-7.232070113462746,6.305846870901738,0.9999999983777054,17,9.23,0.45978372218087316,0.13199999999999998,1.0749161,0.88287663,0.9999572,0.33580428,0.0005455876,0.00016499999999999997
22.45713,46.0,100000,9.82637734631702e-06,66,1,2314.1222498380907,1847,1,-1518.140789250808,133,1,-193.57522936237274,49,0,2602.8384213333807,650,1,595.8514977927164,0.6007201440288058,0.014770078345160005,-7.494185584668913,7.088689456209195,0.9999999981903538,18,9.8,-0.7338841508608311,0.128,1.0434759,0.9728267,1.0000194,0.3383089,0.00016050489,0.00016
26.85335,45.0,100000,7.797093579329763e-06,314,1,593.9025285386087,478,0,-1465.869152805636,21,0,123.66242841217436,465,1,3067.6888442281734,1923,1,1537.6647445494416,0.5918583716743349,-0.008771988976081722,-8.601651659253172,7.631142472746858,0.9999999984181036,19,10.35,0.3728109879884869,0.124,1.1363022,0.9351372,1.0000669,0.33988646,0.00023462481,0.000155
23.55578,46.0,100000,8.014833412404482e-06,192,1,-50.53546745423864,4566,0,2178.717481453772,699,1,322.5569226177488,225,0,1593.416297611123,313,1,412.0590309453044,0.5778655731146229,0.0028465277857216025,-7.1445084893454425,7.501267301544077,0.9999999982626246,20,10.91,-0.11929768254049122,0.12,1.0599226,0.9654204,0.9999656,0.34019405,3.479785e-05,0.00015
24.18107,47.0,100000,8.188585282502236e-06,474,0,-3037.7516325378015,510,0,1339.1034187304192,1,1,-673.3073638048966,478,0,-187.59180763133685,2482,0,1402.8307039120346,0.5787657531506302,0.010951214122890912,-7.820514928182689,8.054405795981426,0.9999999983370376,21,11.47,-0.5167706161737442,0.11600000000000002,1.056168,0.96810913,1.0000808,0.34183353,0.00018152405,0.00014500000000000003
24.17254,47.5,100000,6.322744506997861e-06,6,1,1339.5173840613134,119,1,765.6180029489832,763,0,363.75970966238503,412,1,-1209.2848003801496,277,0,-1165.5549672962395,0.5660532106421284,0.003260665774621333,-7.441160055166444,6.520690472229888,0.9999999982869645,22,12.02,-0.1569311930797994,0.11200000000000002,1.0378513,0.9782212,1.0000069,0.34239337,1.5326106e-05,0.00014000000000000001
25.48041,47.0,100000,6.343886763145087e-06,376,1,197.3552695101547,249,0,2220.084163930451,15,1,122.61627693531861,405,1,1836.4044744400915,279,0,-587.9521850347616,0.5652330466093218,-0.0015705036339800512,-7.6802492099250586,6.239599052282453,0.9999999983677584,23,12.58,0.028600765857845545,0.10800000000000001,1.0731276,0.94971436,0.9999415,0.34265393,5.0227933e-05,0.000135
27.78566,47.0,100000,1.2278502337847775e-05,226,1,708.7768235126302,246,1,736.4572626569311,63,0,-3.129222349038699,385,0,-607.4531799846859,216,1,-1500.9075304108035,0.5583416683336667,-0.010511374021534906,-7.376990586864836,7.337851065327328,0.9999999984030704,24,13.13,0.5102965333499014,0.10400000000000001,1.0258985,0.9594516,0.9999767,0.3425893,1.3631175e-05,0.00013000000000000002
24.07084,47.5,100000,7.990224440032826e-06,1150,1,-4790.792450225673,1255,0,584.7337249237828,90,0,304.75684810087847,1456,1,-855.8227827682217,357,1,1105.33649013896,0.5605521104220844,0.010043805102598023,-7.6627557365640016,7.389569979631474,0.9999999982924673,25,13.69,-0.48165836255066097,0.1,1.0181304,0.9701528,0.9999968,0.3422297,1.1267264e-05,0.000125
27.18497,47.0,100000,1.4187061564981316e-05,704,1,513.1267063998666,1607,0,-333.6275189987238,6,1,-1559.9701922147149,633,1,-3207.3043357760926,1395,1,1498.9806880852946,0.5631426285257052,-0.004695038129013791,-7.932259594891155,6.504537211875719,0.9999999983973169,26,14.24,0.23193926457315683,0.096,1.030027,0.9784526,1.000028,0.34313405,6.296524e-05,0.00012
19.99223,48.0,100000,4.501193108191968e-06,593,1,689.7866377694745,1288,1,850.8590604032452,153,1,437.86131998921866,1584,1,1391.1916555304683,418,0,1057.9247513122061,0.5567713542708542,0.028954489615503412,-10.460379406657077,9.393960257305382,0.9999999980647416,27,14.8,-1.372412085533142,0.092,1.0284147,0.9630275,0.9999866,0.3431713,1.0092551e-05,0.00011499999999999999
