_AverageReward,_No_optimal_actions,Steps,adv2_-1,adv2_full_-1,adv%1,adv2_-2,adv2_full_-2,adv%2,adv2_-3,adv2_full_-3,adv%3,adv2_first,adv1_-1,adv1_-2,adv1_-3,adv1_first,diff0,diff1,diff2,diff3,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.295875,48.5,40000,-34,-34,100,-37,-70.59268,52.41336637,-36,-105.7469797,34.0435255,-15,-34.00555485,-37.03971329,-36.05856113,-15.018,-0.005554849,-0.039713286,-0.058561126,-0.018000001,0.063358654,0.491524576,-1.059999786,-6.223756824,-0.001111356,0.999999905,1,0.77,20.12297118,0.195,1.013999,0.9853626,0.99990994,0.3464963,6.53E-06,0.00024375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.3029,50,40000,103.3920829,103.3920829,100,103.3920829,205.5455286,50.30130482,181.0118213,384.0949145,47.12684664,-36.01844069,114.3907881,92.50494306,153.002588,18.56115637,10.99870523,-10.88713982,-28.00923333,54.57959706,0.0454253,0.500725036,-0.156473414,-2.542200407,2.875058877,0.999999977,2,1.28,2.890043125,0.19,1.1080409,0.8938777,0.99989784,0.34617892,0.000296508,0.0002375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.634325,51,40000,-0.39906092,-0.39906092,100,-0.462652234,-0.856932404,53.98934986,-2.040998971,-2.887665324,70.67990025,-64.0723317,-0.39906092,-0.462214727,-2.040081721,-64.07198821,0,0.000437506,0.00091725,0.000343487,0.01397889,0.479473974,-0.04593425,-3.50205991,3.625121146,0.99999997,3,1.81,0.780805564,0.185,1.0876592,0.88977885,1.0000156,0.34631884,0.000182863,0.00023125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.14405,50,40000,47.68389383,47.68389383,100,47.68389383,94.79653462,50.30130482,33.92720829,127.5880804,26.59120521,-3.461650588,77.83581896,77.83581896,52.13166781,37.09497862,30.15192512,30.15192512,18.20445952,40.55662921,0.00536444,0.494049702,0.035610714,-4.122247851,4.182456395,0.999999962,4,2.23,-0.760071396,0.18,1.1015322,0.8510876,0.9999437,0.34555647,0.000400403,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.7078,51,40000,9.642691096,9.642691096,100,9.642691096,19.16986275,50.30130482,8.479036087,27.41924388,30.92366851,14.20014817,9.642421376,9.642421376,8.479036087,14.19952733,-0.000269721,-0.000269721,0,-0.000620833,0.004859224,0.470148507,-9.18E-05,-3.602447275,5.093421003,0.999999956,5,2.74,-0.114041356,0.175,1.4071801,0.80871946,1.0002428,0.34604785,0.000577058,0.00021875
