_AverageReward,_No_optimal_actions,Steps,adv2_4911,adv2_full_4911,state1_4911,state2_4911,adv2_7190,adv2_full_7190,state1_7190,state2_7190,adv2_12432,adv2_full_12432,state1_12432,state2_12432,adv2_15775,adv2_full_15775,state1_15775,state2_15775,adv2_16950,adv2_full_16950,state1_16950,state2_16950,val_NN4911,val_NN7190,val_NN12432,val_NN15775,val_NN16950,adv1_4911,adv1_7190,adv1_12432,adv1_15775,adv1_16950,diff4911,diff7190,diff12432,diff15775,diff16950,val1_4911,val1_7190,val1_12432,val1_15775,val1_16950,val2_4911,val2_7190,val2_12432,val2_15775,val2_16950,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.180275,49.5,40000,-3,-160.0836962,1,0,-15,-255.6504904,5,0,-6,-242.1318958,2,0,-42,-2713.675285,14,0,0,0,0,0,0,0,0,0,0,-3.008904356,-15.04468776,-6.032831328,-41.993468,0.008586923,157.0747918,240.6058026,236.0990645,2671.681817,0.008586923,-177.2836303,-273.2836328,-277.1645211,-11702.25793,0,-160.0836962,-255.6504904,-242.1318958,-2713.675285,0,0.058420245,0.516475824,-1.114314614,-6.326847942,0.000431041,0.9999999,1,0.34,21.16859102,0.186666667,1.1016458,0.8146668,0.99909055,0.3453768,0.000262514,0.000233333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.666,47.5,40000,42.81536512,-456.9586894,9,1,-73.01929541,-3326.074297,1,0,-21.03249369,-2518.15341,3,0,-6.12568991,-959.2155562,2,2,4.482930078,-988.96369,8,5,-5812.7163,-540.33203,-1373.2009,-1535.6226,-5412.6216,78.08891062,-73.01929541,-21.03249369,-28.84205588,-100.7140076,535.0476001,3253.055002,2497.120916,930.3735003,888.2496824,-11540.0094,-11682.27764,-14483.78314,-12082.01925,-17905.48023,-1824.924314,-17.60809417,-720.6827042,-914.3691618,-302.2009239,0.050134779,0.523176159,-0.147704601,-3.157808382,3.581616939,0.999999977,2,0.59,2.556928433,0.173333333,1.1136898,0.92603815,1.0002548,0.34629467,0.000604237,0.000216667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.484925,49,40000,30.71815508,1527.894922,4,0,61.00877315,1334.617175,9,0,51.31638608,862.8595299,8,0,-150.0334566,-245.8156731,0,2,-34.98895951,-2211.701698,29,1,-9522.231,-11522.474,-11052.314,-8332.877,-23816.367,30.71815508,61.00843238,51.31605894,-150.0332038,8.890807789,-1497.176767,-1273.608742,-811.543471,95.78246923,2220.592506,-7557.300796,-10528.99981,-9263.694111,-13185.35655,-29758.04278,-769.7714928,-1334.428293,-1534.704912,-15.46957774,-7047.438897,0.016009612,0.508900445,-0.035460899,-3.660431334,3.461524464,0.99999996,3,0.84,0.437218352,0.16,1.1216363,0.8810509,0.9995158,0.34486666,0.001477344,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.13565,49.5,40000,9.618369087,416.9889831,0,1,11.50459014,257.6741229,1,0,-30.12996562,-778.5521416,15,2,-96.8934636,-62.23666246,8,2,6.993405977,52.95924305,3,2,-9439.371,-9412.404,-15429.311,-10771.098,-9721.43,9.618369087,11.50459014,-52.19294148,-79.19742473,30.72362921,-407.370614,-246.1695327,726.3592001,-16.96076227,-22.23561384,-8897.616522,-8302.310755,-19336.82853,-9538.283327,-9301.400453,-108.6138164,-11.82116112,-2028.233139,-993.2669556,-715.2051084,0.008603171,0.471623581,-0.009760142,-5.01755607,2.408940265,0.999999962,4,1.16,0.110709526,0.146666667,1.0800227,0.926937,0.9999784,0.34375176,0.000288477,0.000183333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.115875,49.5,40000,2.407963455,1297.737533,8,5,32.46820573,-238.4432963,9,8,125.2716988,702.6542194,5,3,-58.78260156,-139.5559284,3,1,22.25579019,-147.6051465,1,0,-12484.219,-13991.349,-11201.256,-10000.361,-9836.57,10.14019131,70.63193742,151.33421,-38.26892273,22.25579019,-1287.597342,309.0752337,-551.3200094,101.2870057,169.8609367,-10205.32192,-14407.05314,-11595.38741,-11001.88353,-10246.6995,-1160.229779,-1421.70834,-1336.371672,-329.210927,-5.96406,0.005078368,0.460448022,-0.008433204,-5.228338994,3.444170864,0.999999954,5,1.48,0.098882284,0.133333333,1.0696301,0.90779185,1.0002515,0.34070382,0.000569782,0.000166667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.346975,50,40000,4.357669729,584.49211,3,3,-1.134843478,72.99212489,0,1,-1.134843478,23.49849787,0,1,-2.058074645,-144.8392525,36,2,-0.138504325,49.97057488,34,2,-10594.398,-9957.129,-9957.129,-35363.805,-33319.645,-15.47727015,-1.135140228,-1.135140228,-5.789707312,3.128838206,-599.9693801,-74.12726511,-24.6336381,139.0495452,-46.84173668,-9600.14259,-8792.265174,-8859.66577,-39499.04059,-33585.38034,-1185.860005,-120.6715615,-943.8652116,-9156.035037,-6132.34883,0.004435824,0.452497625,0.010280734,-4.538481467,2.950302156,0.999999943,6,1.84,-0.244572598,0.12,1.0821506,0.8976892,0.9999081,0.33814952,0.000410065,0.00015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.50135,50.5,40000,17.40534398,-180.1488401,3,0,-8.490499115,-273.6939451,6,2,-1.8464061,-316.951345,18,2,3.631511251,208.0401577,1,0,41.24421452,281.3249617,0,2,-10002.811,-10885.1875,-18011.926,-9754.838,-9792.395,17.40534398,-1.545130011,-9.15033744,3.63180177,41.24479561,197.5541841,272.1488151,307.8010076,-204.408356,-240.0801661,-10990.63983,-10972.76431,-18310.22875,-9216.837258,-9805.523994,-20.78522112,-851.6741749,-4697.564955,-213.8770722,-2206.298251,0.003969685,0.4279964,0.021220847,-4.658943213,5.338951275,0.999999942,7,2.18,-0.471247437,0.106666667,1.0792702,0.9171656,1.0001334,0.33430973,0.000342721,0.000133333
