_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
20.884175,50.0,40000,0.04458575129038409,-981.8910204492406,-960.3785063204983,-1012.3369788270808,-1100.6567392032828,-1242.5841992128985,0.518,-1.1405016595090942,-7.294085873937337,-0.2362470164857906,0.9999999986461204,1,0.33,20.50562584400177,0.196,1.0661609,0.91954017,0.9994266,0.3462281,0.00017559573,0.000245
24.607875,50.5,40000,0.004476090541991749,-1248.7546894574023,-1293.8449635836578,-1193.653519953755,-1148.730613576276,-1085.8506561283457,0.49365789473684213,-0.31364812536462305,-6.202592711988216,5.807347118776436,0.9999999993305012,2,0.63,5.662168771028519,0.192,1.0342816,0.97703236,0.99989164,0.34615484,1.2415798e-05,0.00024
24.568175,49.0,40000,0.0012218486749518075,-1130.4686307445602,-1213.6874431302488,-1070.391233489047,-1075.0143792090214,-1078.9370817277147,0.5057105263157895,-0.26862962313030386,-6.7814657227245325,5.2358090782068665,0.9999999993360057,3,0.94,4.843400672078133,0.188,1.0825202,0.9325358,1.0001273,0.3461764,6.5004075e-05,0.000235
30.386625,49.0,40000,0.0006657777808263506,-1089.746809889722,-1178.135582381845,-1054.0269614113033,-1045.7635551055341,-1043.0413310943902,0.5045,-0.27381124059890793,-6.398843063358333,4.529163307887878,0.9999999993821751,4,1.32,4.9080518782138824,0.18400000000000002,1.0965998,0.93332547,1.000017,0.346055,0.00012948585,0.00023
25.53385,49.5,40000,0.0002678404525289998,-1034.1974625932078,-1127.731937500486,-986.2921763760316,-970.1655288698181,-956.2968873254252,0.49665789473684213,-0.23085007894479834,-5.480491070484104,5.151244234944804,0.9999999992693355,5,1.68,4.127960041165352,0.18000000000000002,1.0503095,0.95447654,0.99995464,0.3462201,9.91756e-05,0.00022500000000000002
28.198575,49.5,40000,0.0001752609771455785,-908.6381622489101,-998.8866805212235,-859.1452862324534,-855.3477764078531,-869.5270166791735,0.5031052631578947,-0.22289163240961385,-5.281847139167346,4.577772376300728,0.9999999992817404,6,2.05,3.9921154230833054,0.17600000000000002,1.0327585,0.9462157,0.99992734,0.34606257,2.770134e-05,0.00022
20.476425,49.5,40000,0.00010039774937506177,-809.388318935927,-889.9358347321331,-760.3183651256201,-771.1860000542257,-795.3779544564079,0.5066052631578948,-0.07566856237882721,-5.182203484195687,6.2216397120370415,0.999999999051744,7,2.42,1.3588358089327812,0.17200000000000001,1.0338384,0.9676909,1.0000539,0.34635207,7.435531e-05,0.000215
25.866675,49.0,40000,0.00013193699943918832,-769.2517327174871,-849.5506622533707,-715.4396039732333,-719.0355125239475,-750.8296291770333,0.4978947368421053,-0.14620207112646294,-6.031840301212696,4.729979120821013,0.9999999992134619,8,2.78,2.6098145097494125,0.168,1.0574366,0.9538169,0.99985826,0.34608245,0.0001131953,0.00021
30.31795,49.0,40000,0.00014748531845275705,-739.0218260831265,-790.2131910738804,-711.9320757507929,-715.8251399834968,-758.2823101296273,0.5086578947368421,-0.1614872357539625,-5.849682161903975,4.370428746814703,0.999999999324827,9,3.15,2.8976926058530807,0.16400000000000003,1.0426055,0.96056455,0.9999753,0.34610838,1.3798177e-05,0.00020500000000000002
22.5651,49.0,40000,8.613954387041495e-05,-684.4639036988403,-731.480500664556,-654.0523682887159,-639.9984301583688,-673.1445153321349,0.5122368421052632,-0.05871298007590658,-7.3199208211273135,4.677880678249035,0.999999999142466,10,3.51,1.085221329703927,0.16000000000000003,1.0571073,0.92400455,1.0000693,0.3456809,0.00014041664,0.0002
29.4252,48.5,40000,8.949626497863056e-05,-644.4438128586067,-699.1845073749745,-611.0748352208569,-588.6802958619675,-614.42202641253,0.5216315789473684,-0.1425341839726235,-5.422836464336874,4.539221313957146,0.999999999338935,11,3.87,2.5507403910160065,0.15600000000000003,1.0670387,0.93866795,1.0000354,0.345791,7.387629e-05,0.00019500000000000002
25.018,49.0,40000,6.510682586935889e-05,-623.6372917980084,-679.000338872199,-591.6578643512937,-562.617244687396,-587.8073716357549,0.5116315789473684,-0.08484459358324482,-5.745802382263229,6.1910844845762085,0.9999999991630516,12,4.22,1.498742539435625,0.15200000000000002,1.041594,0.9683701,1.0000057,0.3459601,2.6197476e-05,0.00019
24.680425,48.0,40000,6.060149879225432e-05,-586.7521606023714,-641.3368176722325,-554.1377671044733,-527.2109884634559,-558.4528832479814,0.5222368421052631,-0.06425184642454257,-5.853794113176141,5.482331125668016,0.9999999991753935,13,4.57,1.125273548066616,0.148,1.0628192,0.92959446,0.99975246,0.34610522,0.000135109,0.000185
23.623975,49.0,40000,0.00012638022267798845,-554.0618168204117,-605.2772060628545,-524.1118300014871,-494.0511619940649,-521.4936984479376,0.5106842105263157,-0.03347284185601288,-6.362572770478456,5.705745929525706,0.9999999991127158,14,4.93,0.5839178077876568,0.144,1.0287669,0.96789116,0.999979,0.34585223,5.8713867e-06,0.00017999999999999998
24.958675,49.5,40000,4.643833139868404e-05,-503.0245163387319,-545.4492505613892,-475.6937377065742,-446.5834692851878,-466.32354970721804,0.5043684210526316,-0.028506600585274742,-6.663215328020332,4.571025337918643,0.9999999992029642,15,5.28,0.5206731464713812,0.13999999999999999,1.0222677,0.98190224,0.9999675,0.3459558,1.5460522e-05,0.000175
25.126375,49.5,40000,5.447858645531692e-05,-486.7147852998669,-534.2353893140408,-457.2660916044312,-425.6387551405479,-442.73722352782966,0.5129473684210526,-0.026029873528440134,-7.7000645024623395,5.714292267934326,0.999999999156338,16,5.62,0.49405955732800066,0.13599999999999998,1.011247,0.9891695,0.99998385,0.34583265,1.1656312e-05,0.00016999999999999999
23.33,50.0,40000,5.373671778024321e-05,-479.192375261328,-518.533863827989,-453.03415415702085,-424.58079003624516,-453.3198469975036,0.5178157894736842,-0.0012637164204063148,-4.726697408428698,5.6648003513503165,0.9999999991745823,17,5.99,0.03832640405744314,0.13199999999999998,1.0104554,0.9893802,0.9999371,0.34601814,1.1562392e-05,0.00016499999999999997
23.160875,50.0,40000,3.644614956666421e-05,-450.8880720516762,-491.9751091806909,-425.52221143555005,-398.70589230903704,-425.4281720161753,0.5121578947368421,0.06815137963760488,-7.274150986329008,6.6046161813709725,0.9999999991288684,18,6.35,-1.2506249472498894,0.128,1.0089109,0.98938054,1.0000094,0.3459779,1.1192329e-06,0.00016
26.50845,49.0,40000,4.863570412578012e-05,-450.4513930142696,-491.52911842318167,-425.93117843153476,-406.93764619182906,-435.1334899679377,0.5116842105263157,-0.061172997169405,-5.66720318920414,5.156264058740149,0.9999999992342599,19,6.71,1.0924506522715092,0.124,1.0239208,0.985675,0.9999695,0.34588793,5.673024e-06,0.000155
24.47475,49.0,40000,4.354517274738387e-05,-417.098611731788,-445.69443958696655,-404.3607524272758,-391.99581827243355,-423.84296595770587,0.5088421052631579,-0.0028218840957956745,-6.819866989872064,5.19181573700343,0.9999999992089464,20,7.06,0.08306114003062248,0.12,1.0121865,0.9880469,0.999921,0.3458357,1.1492274e-05,0.00015
28.494675,49.5,40000,4.390093024152233e-05,-399.93092468782874,-427.84876059848,-381.8285543018296,-370.9826748848677,-411.2248341855037,0.5158684210526315,-0.09391934411037908,-4.915262410275493,5.459607685241748,0.9999999992117701,21,7.43,1.6996340602636337,0.11600000000000002,1.0158775,0.97598416,0.99999535,0.34583387,1.48030485e-05,0.00014500000000000003
21.0275,50.0,40000,2.6048248021796e-05,-368.0927674115351,-392.8258447482034,-348.19043256673854,-339.1860238314086,-378.4355013985118,0.5144736842105263,0.11537259236341575,-6.715199240106212,5.795923997739348,0.9999999990854069,22,7.78,-2.1035659685730934,0.11200000000000002,1.0234767,0.979892,0.99995816,0.3461114,1.9024905e-05,0.00014000000000000001
19.1762,49.5,40000,4.993010096337744e-05,-348.29630306473865,-371.004376209352,-328.68558794138994,-320.3728906776991,-360.8999120970324,0.5146578947368421,0.16792434321321523,-7.101820322679214,8.499467645345575,0.9999999988508893,23,8.14,-2.9961182922124863,0.10800000000000001,1.0333357,0.97201794,1.0000328,0.34580114,1.7256472e-05,0.000135
23.5217,49.5,40000,4.574493529569162e-05,-334.5112446600654,-354.9657026667826,-316.80429201400676,-308.3014881173149,-350.3318661383886,0.5081052631578947,0.011361976719187743,-5.372513834335251,5.790480051540859,0.9999999991553186,24,8.49,-0.19980289787054062,0.10400000000000001,1.0083138,0.9885113,0.9999994,0.3458832,2.054918e-06,0.00013000000000000002
25.65475,49.0,40000,3.826470528024641e-05,-327.77440283847983,-342.47046860742,-308.2772341320371,-300.1196830639498,-340.15085596689255,0.5118947368421053,0.005847030392590569,-6.586649117466835,7.491064910665311,0.999999999181209,25,8.84,-0.10199578758329153,0.1,1.0304674,0.96605587,0.99999744,0.34576616,3.343047e-05,0.000125
22.801775,49.0,40000,2.752887631159913e-05,-307.1046568926855,-321.5023862626106,-288.5908420097921,-277.47715399765167,-314.25982563588684,0.5177631578947368,0.06930625102372587,-7.854234812150284,4.958835686750996,0.9999999991018658,26,9.19,-1.248860690742731,0.096,1.0727562,0.9393672,1.0001109,0.34604055,6.094277e-05,0.00012
23.79635,50.5,40000,3.3561653224751355e-05,-299.81672092430057,-313.28880036933214,-280.6389851529995,-267.9338249107636,-301.49093295707723,0.512578947368421,0.006511172953321756,-5.047000534738965,5.268465830637051,0.9999999991542653,27,9.54,-0.11843173811212182,0.092,1.026971,0.9716167,1.0000272,0.34590924,1.7290542e-05,0.00011499999999999999
