_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
23.26195,50.0,40000,0.03749836568085625,-44.708537905932374,-27.089087843267908,-64.12721665862918,-91.39720239067454,-119.51178666479485,0.502376188094047,-0.8756119567611059,-6.205569480918516,-1.9114607610877673e-17,0.9999999927393055,1,0.24,16.60787057876587,0.196,1.1328293,0.78479934,0.99830455,0.34488428,0.0006268196,0.000245
24.3785,48.0,40000,0.003126744209360583,-103.11030513652648,-149.2264637556726,-93.05724234151818,-130.45358967963432,-214.5054025177421,0.44027013506753376,-0.022758878452754865,-7.370451660582688,7.403632068457473,0.9999999990027932,2,0.46,0.40511265443637967,0.192,1.3148661,0.93906575,1.0000111,0.33654907,0.000303992,0.00024
23.954825,49.5,40000,0.0007726606000049423,-124.33004580125106,-181.78119122099557,-98.47158163888425,-134.32124480644916,-236.61972175643993,0.44987493746873436,-0.01815402419693762,-7.216549640924548,7.3192275137670935,0.9999999988427238,3,0.67,0.3137521962635219,0.188,1.2009528,0.9807557,0.9999601,0.3350474,4.236557e-05,0.000235
29.7975,47.5,40000,0.00046916619605832493,-121.08218904817797,-183.77666262511232,-89.39765532470369,-128.37405803753313,-223.87081399480275,0.4336918459229615,0.007240602580716846,-6.757265022850746,6.015560536170156,0.9999999989759861,4,0.95,-0.11699584079906344,0.18400000000000002,1.219649,0.97103673,1.0000373,0.3267045,9.346572e-05,0.00023
22.55615,51.0,40000,0.00017741836520159275,-103.2109664398857,-164.45445286161393,-83.80894219831042,-135.7412307106463,-192.67797140483657,0.48109054527263634,-0.01587976818427049,-8.133196429310347,7.932321943588712,0.9999999985970285,5,1.23,0.3109441795386374,0.18000000000000002,1.1765687,0.9647115,1.0000017,0.34411085,5.6708413e-05,0.00022500000000000002
19.7383,49.5,40000,8.47033541429445e-05,-94.98854449411127,-146.35981806728714,-84.28858973586846,-131.27186010495146,-163.66344303850627,0.49734867433716856,-0.018200104239193115,-6.942867534128258,7.214346514366795,0.9999999982435047,6,1.51,0.3441457296721637,0.17600000000000002,1.1476538,0.92027384,0.99992466,0.3463512,0.00011867491,0.00022
27.7907,50.0,40000,6.913376836373022e-05,-91.66251372923993,-136.59379168080625,-83.18552237740175,-131.73810371616014,-162.6886174600975,0.4993496748374187,-0.04363687189147807,-6.736714684121417,6.116735209831022,0.9999999985629853,7,1.79,0.8467797581106424,0.17200000000000001,1.0105917,0.9889273,0.9999974,0.34639284,4.7922895e-06,0.000215
29.477025,50.5,40000,7.832701545642673e-05,-87.25498745766143,-120.38265808316552,-75.83681282787164,-115.25608212943645,-132.21195353195915,0.502376188094047,-0.03518663703361696,-6.443622561925483,7.358690573387955,0.9999999985720119,8,2.06,0.6533506810665131,0.168,1.0252122,0.97338784,0.9999954,0.34635058,1.1542754e-05,0.00021
27.691875,46.5,40000,6.705708932196754e-05,-79.0348262879398,-108.17723987578414,-66.74449168458736,-101.73841460552737,-124.85135265129115,0.4624312156078039,0.029791448445704295,-8.030988956230347,5.612576156325631,0.9999999985940102,9,2.35,-0.5615916410461068,0.16400000000000003,1.1473854,0.98384774,1.00004,0.330437,2.724256e-05,0.00020500000000000002
30.904625,50.0,40000,6.403731575068352e-05,-77.53233151685744,-104.71563959267408,-63.37661004736304,-96.66375296337918,-112.41291156799656,0.4929714857428714,-0.03278579743178658,-8.383098263621589,7.305659490024769,0.9999999986436773,10,2.63,0.6349208275787532,0.16000000000000003,1.0505563,0.97636133,0.99999744,0.34582242,1.4784627e-05,0.0002
24.537625,50.5,40000,3.4272613519478425e-05,-72.07683923882776,-97.71422773844363,-57.83043919767059,-88.29415452328718,-103.29466221782779,0.5011255627813906,-0.011535332293475383,-8.387235765839243,6.931472813298197,0.9999999983465133,11,2.91,0.1831244695931673,0.15600000000000003,1.0149125,0.9812602,0.9999988,0.34626973,1.4588582e-06,0.00019500000000000002
22.51065,49.5,40000,3.468633476204368e-05,-67.24427015327832,-90.86775353818523,-53.21874474393718,-82.26076873869935,-103.1012015574517,0.49734867433716856,-0.0003171957056388859,-7.040702870945659,7.349011458151126,0.9999999982962489,12,3.19,0.028851703740656376,0.15200000000000002,1.0819596,0.96038103,0.999974,0.3462076,9.223386e-06,0.00019
25.589725,50.0,40000,2.0978086350929213e-05,-62.5060343885816,-85.0554348506761,-50.41952012574757,-76.28566186796627,-97.43373944887435,0.4949224612306153,-0.011920366218115638,-7.1115926153014515,6.050430309038685,0.9999999984487833,13,3.47,0.23085780418477952,0.148,1.0176326,0.9783418,1.0000138,0.34619576,4.3598593e-06,0.000185
30.699325,50.0,40000,2.5417037473674064e-05,-61.2442519821455,-82.75110246763167,-51.26481325932857,-75.24918520639096,-94.47824241284157,0.49909954977488746,-0.017662367025037692,-6.385274647498997,7.516420527747218,0.999999998648599,14,3.74,0.3458430957980454,0.144,1.0164473,0.97641623,1.0000024,0.34638265,2.3954626e-06,0.00017999999999999998
31.2877,50.0,40000,2.446978963172538e-05,-57.8537662539713,-78.87501653799201,-52.13128276087223,-73.22881749665848,-85.29656195747124,0.49647323661830917,-0.023588136312165553,-6.458892913340677,5.684295460614279,0.9999999986027439,15,4.02,0.4414295565802604,0.13999999999999999,1.0510161,0.970785,1.0000056,0.3462913,1.0807221e-05,0.000175
