_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[1 0]adv2_,[0 0]adv2_,[2 0]adv2_,[3 0]adv2_,[4 0]adv2_,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,
24.17475,49,40000,0.041609304,-45.10618396,-29.20535097,-65.56832059,-90.71127391,-123.513253,0.495447724,-1.00222115,-6.008962922,1.24E-17,0.999999992,1,0.32,19.03334248,0.196,1.047127,0.9427861,0.99986553,0.3464818,2.19E-05,0.000245
,,,,,,,,,,,,,,,,,,,,,,,
24.012475,50.5,40000,0.003881479,-81.25532424,-123.1439629,-66.95992408,-50.90839996,-129.477552,0.49092046,-0.079542405,-7.344945781,6.807001568,0.999999999,2,0.59,1.51274449,0.192,1.0532005,0.9333571,1.0000725,0.34604633,0.000108562,0.00024
,,,,,,,,,,,,,,,,,,,,,,,
29.86085,51,40000,0.0007313,-81.92533757,-134.408249,-60.80711487,-68.29450552,-136.2553233,0.485617809,-0.08109594,-7.734105431,6.97914789,0.999999999,3,0.85,1.533900518,0.188,1.0770607,0.8921673,1.0000473,0.34602588,6.00E-05,0.000235
,,,,,,,,,,,,,,,,,,,,,,,
24.0316,51,40000,0.000237066,-75.07058203,-135.4216375,-55.22945489,-58.8847938,-112.1233667,0.472511256,-0.049695058,-7.608939205,7.491571398,0.999999998,4,1.18,0.939601619,0.184,1.0522053,0.8803896,1.0000252,0.34388334,8.64E-05,0.00023
,,,,,,,,,,,,,,,,,,,,,,,
25.033175,51.5,40000,0.000132037,-65.07878173,-122.4920124,-43.64991369,-48.78276915,-98.24335608,0.455302651,-0.042176349,-6.416258911,9.76675748,0.999999998,5,1.5,0.806825876,0.18,1.2158939,0.9413202,0.9999694,0.34282112,0.000154885,0.000225
,,,,,,,,,,,,,,,,,,,,,,,
20.1254,50.5,40000,8.38E-05,-68.75105852,-119.9226769,-51.42466018,-59.23186902,-91.22828059,0.480165083,-0.031189956,-8.677393246,6.915345015,0.999999998,6,1.81,0.570072914,0.176,1.0672352,0.89687407,1.0000392,0.34543177,6.11E-05,0.00022
,,,,,,,,,,,,,,,,,,,,,,,
26.14415,52.5,40000,7.26E-05,-65.33342128,-109.1670247,-49.94939898,-62.28014569,-90.42950467,0.459029515,-0.047949173,-8.320203394,5.200046065,0.999999998,7,2.13,0.910881404,0.172,1.0672832,0.82247716,1.0000279,0.3400598,0.000252971,0.000215
,,,,,,,,,,,,,,,,,,,,,,,
31.49625,47,40000,0.00016231,-65.04650519,-108.1068436,-49.49624479,-62.60186211,-88.04135855,0.398524262,-0.028608895,-6.27871542,10.68928589,0.999999999,8,2.45,0.537492624,0.168,1.1958573,0.96103674,0.9999233,0.32565597,0.000132895,0.00021
,,,,,,,,,,,,,,,,,,,,,,,
23.260225,52.5,40000,5.22E-05,-62.85787105,-100.7300449,-48.95907968,-58.65397234,-78.99906219,0.465882941,-0.028602044,-6.605748905,6.258661944,0.999999998,9,2.76,0.541992215,0.164,1.0645866,0.97875834,1.0000311,0.3436291,1.47E-05,0.000205
,,,,,,,,,,,,,,,,,,,,,,,
25.821875,52,40000,5.02E-05,-62.07023524,-97.32919995,-48.11770278,-52.34317605,-70.48201429,0.466233117,-0.032149271,-5.742875164,6.628471104,0.999999998,10,3.07,0.608601171,0.16,1.0869042,0.94369084,0.99999326,0.34535035,7.89E-05,0.0002
,,,,,,,,,,,,,,,,,,,,,,,
