_AverageReward,_No_optimal_actions,Steps,adv2_0,adv2_1,adv2_2,adv2_last,adv1_0,adv1_1,adv1_2,adv1_last,adv_0_diff,adv_1_diff,adv_2_diff,adv_last_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.199025,48.5,40000,-7,-10,-9,-10,-7.017948777,-10.06047566,-9.068968023,-9.068968023,-0.017948777,-0.060475658,-0.068968023,0.931031977,0.017304694,0.506075304,-0.830303353,-5.013931977,0,0.999999999,1,0.31,15.76295036,0.196,1.0677633,0.90223855,0.9995601,0.3449299,0.00017586,0.000245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.218725,48,40000,-82.09661953,-75.04643106,-82.09661953,27.93449418,-82.09638863,-75.04643106,-82.09638863,-82.09638863,0.000230896,0,0.000230896,-110.0308828,0.0137626,0.520551028,-1.43218546,-6.630144119,-0.003241068,0.999999998,2,0.55,27.2263329,0.192,1.0490702,0.9614191,0.9999539,0.34561196,2.28E-05,0.00024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.98135,47.5,40000,-40.45732417,-53.11287812,-40.45732417,2.134448619,-20.86704425,-34.11384379,-20.86704425,-20.86704425,19.59027992,18.99903433,19.59027992,-23.00149287,0.016075035,0.516150808,-1.375809544,-6.793384294,-0.002655344,0.999999999,3,0.78,26.121207,0.188,1.0489506,0.9056665,0.99976915,0.34440595,0.00013308,0.000235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.967125,46.5,40000,-51.17912676,-22.11519578,-10.46141958,-1.737387735,-51.17912676,-22.11520847,-10.46143942,-10.46143942,0,-1.27E-05,-1.98E-05,-8.724051683,0.017390754,0.52980149,-1.644698186,-6.256176596,-0.008570257,0.999999998,4,1.1,31.29600239,0.184,1.0167328,0.9840821,0.9999197,0.34505618,2.31E-05,0.00023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.9807,47.5,40000,-11.04240432,9.550735188,-28.19493051,-18.64459709,-5.121763651,17.9683776,-30.44540938,-30.44540938,5.920640672,8.417642409,-2.25047887,-11.80081229,0.017478467,0.525876294,-1.417879518,-6.60557769,0.046849438,0.999999999,5,1.4,26.89713502,0.18,1.035069,0.9157726,0.99988157,0.3442274,4.79E-05,0.000225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
