_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,[4 1],[4 1]1 action taken,[4 1]adv,[14  2],[14  2]1 action taken,[14  2]adv,[1 4],[1 4]1 action taken,[1 4]adv,[3 2],[3 2]1 action taken,[3 2]adv,[18  1],[18  1]1 action taken,[18  1]adv,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.40945,49.0,100000,0.06023133963325616,0,1,-144.0443301105551,191,0,-434.6991958562129,700,1,-102.02522944203052,751,1,-195.7014090004111,2329,1,-568.6341767107143,0.5182636527305461,-1.060512578420439,-6.55187126057549,2.5127212689680673e-16,0.9999999919457008,1,0.55,50.83298742771149,0.192,1.1644484,0.68437904,0.99851227,0.3443917,0.00067537156,0.00024
24.40228,47.0,100000,0.0036678443164558146,110,0,-490.19217857319404,318,1,471.46115643956705,503,0,-188.247139287163,130,1,-656.3367244229728,363,0,-420.79903236195946,0.522634526905381,-0.08542538059911571,-6.408987034613624,5.563576733781224,0.9999999984965522,2,1.09,4.065611818805337,0.18400000000000002,1.0315945,0.9657413,0.9998812,0.3444472,9.089535e-05,0.00023
26.14585,47.0,100000,0.00046837211251052053,157,0,112.52690387014636,297,1,-1316.6163136551777,17,1,370.54858491858187,66,1,-2669.0745189541713,396,1,-1664.7876622401284,0.5326565313062612,-0.07997273013034562,-6.871961992853305,6.2676147544125165,0.9999999984478363,3,1.64,3.7929008500650525,0.17600000000000002,1.0378357,0.8808893,0.9998874,0.34370703,7.340091e-05,0.00022
24.30652,46.5,100000,0.00013316135111838322,90,1,-152.63328085095338,522,1,118.72652401646951,51,0,-237.63118002052576,88,1,-7.68791967391445,655,1,570.5513510083429,0.5394478895779156,-0.05940192932614478,-7.001883476987382,6.9073005461560175,0.999999998379759,4,2.18,2.8171769436448812,0.168,1.0991352,0.9512124,1.000006,0.34446877,0.00010057862,0.00021
26.15489,46.5,100000,6.046328263326519e-05,92,1,7.0657962373073815,2736,1,-1313.9346498659422,118,0,-92.25346080984907,65,0,428.1280267241731,2376,1,-786.0562253170518,0.5407381476295259,-0.05621751241144201,-7.3209373188463855,6.661054985288352,0.9999999984206838,5,2.72,2.7226363383233547,0.16000000000000003,1.1235707,0.8025599,1.0000253,0.3421714,0.00041025464,0.0002
22.61459,46.5,100000,2.7127077051162874e-05,265,0,-713.0218138829812,33,1,78.13165128834214,391,0,278.6126313725905,120,0,-864.821579734639,1146,1,2305.1472642812896,0.5538307661532307,-0.030541643763120418,-8.298583792051621,8.275321975739837,0.9999999982632755,6,3.26,1.4814729660283774,0.15200000000000002,1.1399634,0.94399816,1.0000403,0.34369108,8.207825e-05,0.00019
22.88708,46.5,100000,2.9046844573851403e-05,61,1,187.44618917869226,175,0,-1771.7192053408878,86,1,404.72828921993585,53,0,-383.5407377122665,2259,0,1566.3698623586783,0.5488897779555911,-0.026692346406879876,-7.312744518317696,8.14434246913093,0.9999999982822484,7,3.81,1.2648889827542007,0.144,1.0327721,0.97057223,1.0000058,0.34344468,1.1657841e-05,0.00017999999999999998
27.0609,46.5,100000,2.9891966268130798e-05,255,1,516.9687952525678,57,1,221.10143640551604,1423,1,234.33202827828998,342,0,191.77306416681802,3629,0,1547.0415121673286,0.5476495299059811,-0.015135718857741396,-7.064783086188792,18.510058367320717,0.999999998561628,8,4.36,0.7491296539083123,0.13599999999999998,1.0327083,0.98394203,0.99999595,0.34343198,4.3623054e-06,0.00016999999999999999
25.80191,47.5,100000,1.7847055742515378e-05,148,1,715.4699192506524,255,1,-1973.4378460904206,351,0,-611.1712107349846,176,0,-81.78628526876213,260,1,954.1439069526118,0.5486797359471894,-0.025275844927612964,-8.31988335682567,8.32480725743712,0.9999999983546687,9,4.9,1.2205809727311134,0.128,1.0344812,0.9761733,0.9999723,0.34391934,6.113137e-05,0.00016
28.08519,46.0,100000,1.3460623654177632e-05,6,0,412.67649750560275,1049,1,-801.6907275962546,16,0,218.4004051997064,236,0,199.8782207374308,1170,0,-1235.1641141838527,0.5457291458291659,-0.028032288932704173,-7.360472961616119,6.998538670518928,0.9999999984794474,10,5.44,1.3291247664019465,0.12,1.071466,0.87874854,1.0000829,0.3418476,0.00030789667,0.00015
