,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,
0,0,-101.6101464,1,0.427526168,1,266.5276823,1,-1130.585717,0,205.0630842,1,291.370438,0,-171.2162105,0,-530.9882672,1,320.9131005,1,-280.3009089,0,-209.8999292,1,302.3395172,1,428.1233087,0,-885.3834332,1,-473.430197,0,194.9708934,1,-2097.892393,0,263.64912,1,309.5624998,1,-75.47585309,0,209.5825843,1,420.582875,0,27.65784927,1,-25.24590259,1,-1270.197354
0,0,-88.87378113,1,0.666160885,1,398.2675581,1,-929.8708414,1,213.1819112,1,286.2446492,1,-652.1551933,1,201.0004021,1,328.6677056,0,-12.93030577,0,84.49668132,1,388.919776,0,386.3017194,1,-643.7914104,1,387.1081556,1,106.8587334,1,-2604.795799,1,121.0594902,0,-55.17067265,1,-25.75211793,1,-87.66293368,1,-427.6495065,0,168.6051915,0,-41.06864198,1,83.93785716
0,0,-100.344551,0,-399.0258186,1,248.2629037,0,-1054.266918,1,216.736487,1,34.52596574,1,-0.357743343,1,304.4675187,0,372.8006037,0,-216.6821016,1,233.6958745,0,406.1819522,1,454.8137147,0,-659.5419184,0,359.1947698,0,305.8622182,1,-3149.486879,0,197.7048159,0,12.49350737,0,-353.6361483,1,-98.99058301,0,270.6008852,1,248.4213373,0,302.2144085,1,-67.75892059
0,1,-103.9708832,0,181.8034922,0,222.7248804,0,-1483.408453,1,263.8267689,0,245.6719324,0,345.1569695,0,291.9441256,1,393.1114906,1,-461.798725,0,80.03346956,1,178.6394439,0,-577.5034495,0,295.2084803,1,358.6990598,0,371.3263133,1,285.0025171,0,209.7119045,1,-174.8336369,0,366.7995833,1,-389.1145392,1,384.0283856,0,305.6724641,0,384.2850308,0,-8.037068775
0,1,-199.2085665,1,527.3601091,1,306.234856,0,-1024.668412,1,189.7094864,0,77.55596528,1,354.2655972,0,169.0710939,0,348.1058941,0,-789.61414,1,77.35812728,1,-425.4681248,0,330.1765746,1,299.0363866,1,344.9573625,1,232.2730565,0,295.1626589,1,-787.2213394,1,-123.0183667,0,183.2106542,0,-400.3908339,1,-307.8238727,1,103.8762051,1,-809.5782875,1,71.3945331
0,1,-67.05322833,0,237.7221479,0,210.119993,1,255.2426466,1,-39.84623002,0,271.0249287,1,306.826807,1,253.3756376,1,353.3296824,1,-475.8596607,0,-33.86049734,0,-438.6866815,1,337.8242528,1,286.6571745,0,312.4273784,1,349.675099,0,117.1480009,1,458.4478389,0,396.6549692,1,-138.5236586,1,-166.4009703,1,-574.1129761,1,256.788186,0,109.6268944,1,-88.86047012
0,1,-45.52642327,1,496.1747727,0,-46.54684721,0,79.35322727,0,-472.7061715,1,279.3013464,0,253.5250257,0,139.8011536,1,358.3576694,1,-249.4751726,1,-410.9033437,1,-765.3282287,1,-1637.693573,1,211.0852863,0,-141.7467735,1,-37.00195672,1,207.335988,1,314.08942,1,298.7811293,1,39.81222098,1,-628.7830591,1,-230.8450592,1,339.562767,0,190.3459104,0,189.1754172
0,0,-31.05025115,0,324.9397032,1,-204.3953326,0,495.9487566,0,-245.510205,1,388.2870736,1,171.7804438,1,341.733363,0,414.1605151,1,-263.5771478,1,-1060.526897,0,-1093.287899,0,-114.6897003,1,387.4677735,0,-279.1949294,1,375.5114106,1,-464.3661058,1,206.6341684,1,28.49406301,0,41.41726938,1,274.64958,1,216.2669508,0,358.0314578,1,21.58956182,0,306.6130079
0,0,-58.07440469,1,522.2078971,1,-438.4992372,0,261.2013021,0,-236.2448147,1,150.8014302,1,228.5621395,1,310.8216305,0,15.09106161,0,184.0603268,1,-365.8532675,0,-836.3364965,1,346.7925451,1,431.0580321,0,-551.3652926,0,225.092527,1,-477.3874922,0,208.5407447,0,-462.703491,0,134.6206505,0,370.8963811,0,266.038275,0,252.1628105,0,207.9543682,0,408.5010703
0,0,-56.9374382,1,351.7773748,1,-452.9966659,1,-9.139278463,1,-99.15859665,1,96.93510303,0,287.098714,1,318.6290137,0,357.1874065,1,-41.96607355,0,210.2422702,0,-476.8828075,0,365.4676897,0,-243.0766624,1,280.2954609,1,1.419592903,1,-18.42393746,0,457.3964644,1,-2560.350664,1,339.5616118,1,358.5442126,1,350.642328,1,-449.4354159,0,324.6427507,0,360.1267386
0,0,-31.93632154,1,287.1257635,0,-1093.018347,1,-180.8468973,1,-103.8824434,1,6.474157363,0,229.3680125,1,307.7124519,1,378.8834829,0,55.17185476,0,355.588198,0,-463.1903672,1,427.6534782,1,428.1303175,1,440.7376327,1,126.8096696,0,-561.9382809,0,34.52959044,1,303.7776634,1,381.0464793,0,-741.3195089,1,382.7960846,0,230.5200636,1,331.2055785,1,460.0707152
0,0,-110.1585753,0,486.7782752,1,-1193.182901,1,-187.3983497,1,137.3649904,1,-84.08364213,1,358.9875257,1,316.0236802,1,276.9666377,1,185.4078257,0,275.4399656,1,-72.49162328,0,444.0614035,0,343.9789215,0,-135.4717841,1,-1114.262599,1,-885.0102003,1,134.8499995,1,443.1931132,1,-2156.233299,0,239.8916394,0,125.8677457,1,204.8307641,0,-445.6072225,0,27.5659527
0,1,-140.0985506,0,499.0859053,0,-189.3879785,1,-211.1045875,0,76.60776191,1,-47.5026477,1,396.5108886,0,-1202.791314,0,-776.7655454,0,86.2794221,1,-2217.99906,0,47.31081695,1,454.7235032,0,162.0779349,1,26.97485955,0,-148.6707947,1,-818.101495,1,-165.5823368,1,444.9078032,1,287.0958687,1,61.30334524,1,-505.9821769,1,129.4968296,1,-476.035689,0,-164.8472379
0,0,-35.08239404,0,518.835153,1,-293.4910294,0,355.2800438,1,195.9359288,0,-170.3232968,0,-290.4726222,0,335.2538945,1,-319.4046537,0,-72.83148273,1,410.5096514,0,73.33576689,1,368.4302058,1,-187.7909678,0,213.9690533,0,-761.8974567,1,-267.5797129,0,-435.697099,1,-86.80091802,0,302.4223951,1,166.0546358,0,-692.5624568,0,34.0328069,0,302.3530545,1,-551.4796255
0,0,-30.07014419,1,-312.632846,0,-536.6198956,1,364.0141913,0,14.21706335,1,283.3312645,0,-901.9262525,0,287.4090473,1,-829.087137,0,-583.4945672,0,434.9934361,0,83.87180654,0,255.0894073,0,291.4405334,1,-64.96745084,1,-657.6451237,1,-750.6730285,1,-96.50259536,0,59.20687072,1,309.7235504,1,-500.3933979,1,-24.32522351,0,-685.1160694,1,349.7610872,1,-1705.018773
