_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
25.38093,49.5,100000,0.04364186381530866,0.4873197463949279,-1.0299340902971683,-5.659137475061297,4.802564852599718e-16,0.9999999591908887,1,0.46,49.32922321557999,0.19574468085106383,1.1691587,0.76389873,0.998449,0.34233814,0.0018757777,0.0002446808510638298
26.79544,50.0,100000,0.004309607041391085,0.42596851937038743,-0.02741154242761105,-7.150105461740194,7.4949726679471125,0.9999999973439787,2,0.92,1.2429711371660233,0.1914893617021277,1.3423136,0.8404685,0.9997509,0.3427172,0.0007918461,0.0002393617021276596
28.06575,51.0,100000,0.0011710202731950038,0.45853917078341566,-0.01616982611883479,-6.046190619230705,19.544046581897405,0.9999999973991156,3,1.39,0.763829686678946,0.1872340425531915,1.2341003,0.90221184,0.9998903,0.34525004,0.00018595648,0.00023404255319148937
22.35118,49.0,100000,0.00026033168922104556,0.4695493909878198,-0.02435712362291267,-7.303554843422294,6.361822788453717,0.9999999964847064,4,1.93,1.1581416805274785,0.18297872340425533,1.1913495,0.8846135,0.99987143,0.34636784,0.0005923969,0.00022872340425531915
24.59385,50.0,100000,0.00015359340276576932,0.4884197683953679,-0.024199895711372498,-4.929653888954218,5.296926557423621,0.9999999965272125,5,2.46,1.1098099113442004,0.17872340425531916,1.0183159,0.97642887,1.0000279,0.3462199,2.5900565e-05,0.00022340425531914892
22.24073,50.0,100000,0.00012059806010615601,0.4883197663953279,-0.017864777114055937,-5.156182893437258,4.947111363475554,0.9999999962478328,6,3.0,0.8629724308848381,0.174468085106383,1.0934263,0.9176756,1.0000398,0.34650594,0.00024147448,0.00021808510638297873
23.74143,50.0,100000,9.57934431885342e-05,0.500370007400148,-0.006280770879591444,-5.496997914334794,9.654218245124646,0.9999999963220713,7,3.54,0.3270858086179942,0.17021276595744683,1.0389749,0.9583011,1.0000039,0.3464711,7.0938318e-06,0.0002127659574468085
24.12422,50.0,100000,5.524844908119451e-05,0.497759955199104,-0.016277688472955305,-4.772024595048691,4.1676864046919,0.9999999962659155,8,4.07,0.7763737579807639,0.16595744680851066,1.0534408,0.94447964,0.9998848,0.34646216,6.497586e-05,0.0002074468085106383
24.08245,49.0,100000,5.942585055450172e-05,0.5098101962039241,-0.012928862154903667,-5.006361467867521,4.759370445953802,0.9999999962351609,9,4.61,0.6184436655603349,0.16170212765957448,1.0146136,0.98206925,0.9999744,0.34645438,3.9358733e-06,0.0002021276595744681
27.30922,50.0,100000,6.450171468017838e-05,0.503960079201584,0.009951322552737856,-4.070920302369056,28.8683902203339,0.9999999970931776,10,5.15,-0.4749448406510055,0.1574468085106383,1.0656053,0.9336723,1.000069,0.34635067,4.2190128e-05,0.00019680851063829787
25.02619,50.5,100000,4.369127701457018e-05,0.5020500410008201,0.028580997628668323,-2.741139999159761,43.34622417389405,0.9999999980289844,11,5.69,-1.3721729463431984,0.15319148936170213,1.0505316,0.94200695,0.9999772,0.34633648,8.540563e-05,0.00019148936170212765
24.89422,50.0,100000,6.737919741046468e-05,0.49284985699713996,-0.008518820485925043,-7.049804569106658,6.865169336698073,0.9999999963307191,12,6.23,0.3839552078861743,0.14893617021276598,1.0268316,0.97267467,0.9999869,0.3461828,1.4458456e-05,0.00018617021276595748
20.94075,50.5,100000,3.0045270152184312e-05,0.4899797995959919,0.001195092175875836,-5.317069291435952,5.142817931386046,0.9999999958212574,13,6.77,-0.06681507220491767,0.14468085106382977,1.0329442,0.9597688,1.0000273,0.3463025,2.1925249e-05,0.00018085106382978723
22.53308,50.0,100000,4.6856968908144275e-05,0.4904598091961839,0.0059745268784254305,-5.415875736010594,10.449518526536815,0.9999999961062452,14,7.31,-0.3093193091917783,0.14042553191489363,1.1140693,0.8971602,1.000009,0.34560034,0.00030255743,0.00017553191489361704
25.80703,51.5,100000,9.122762909535532e-05,0.47119942398847975,-0.003028355153327337,-5.241324457324766,4.909482985507256,0.9999999962588734,15,7.85,0.15449964068830013,0.13617021276595745,1.0630862,0.92706364,1.0000333,0.34495014,3.4332585e-05,0.00017021276595744682
