0.0,1 algo1 action:,1 algo1 adv:,2 algo1 action:,2 algo1 adv:,3 algo1 action:,3 algo1 adv:,4 algo1 action:,4 algo1 adv:,5 algo1 action:,5 algo1 adv:,6 algo1 action:,6 algo1 adv:,7 algo1 action:,7 algo1 adv:,8 algo1 action:,8 algo1 adv:,9 algo1 action:,9 algo1 adv:,10 algo1 action:,10 algo1 adv:,11 algo1 action:,11 algo1 adv:,12 algo1 action:,12 algo1 adv:,13 algo1 action:,13 algo1 adv:,14 algo1 action:,14 algo1 adv:,15 algo1 action:,15 algo1 adv:,16 algo1 action:,16 algo1 adv:,17 algo1 action:,17 algo1 adv:,18 algo1 action:,18 algo1 adv:,19 algo1 action:,19 algo1 adv:,20 algo1 action:,20 algo1 adv:,21 algo1 action:,21 algo1 adv:,22 algo1 action:,22 algo1 adv:,23 algo1 action:,23 algo1 adv:,24 algo1 action:,24 algo1 adv:,25 algo1 action:,25 algo1 adv:,26 algo1 action:,26 algo1 adv:,27 algo1 action:,27 algo1 adv:,28 algo1 action:,28 algo1 adv:,29 algo1 action:,29 algo1 adv:,30 algo1 action:,30 algo1 adv:,31 algo1 action:,31 algo1 adv:,32 algo1 action:,32 algo1 adv:,33 algo1 action:,33 algo1 adv:,34 algo1 action:,34 algo1 adv:,35 algo1 action:,35 algo1 adv:,36 algo1 action:,36 algo1 adv:,37 algo1 action:,37 algo1 adv:,38 algo1 action:,38 algo1 adv:,39 algo1 action:,39 algo1 adv:,40 algo1 action:,40 algo1 adv:,41 algo1 action:,41 algo1 adv:,42 algo1 action:,42 algo1 adv:,43 algo1 action:,43 algo1 adv:,44 algo1 action:,44 algo1 adv:,45 algo1 action:,45 algo1 adv:,46 algo1 action:,46 algo1 adv:,47 algo1 action:,47 algo1 adv:,48 algo1 action:,48 algo1 adv:,49 algo1 action:,49 algo1 adv:,50 algo1 action:,50 algo1 adv:,51 algo1 action:,51 algo1 adv:,52 algo1 action:,52 algo1 adv:,53 algo1 action:,53 algo1 adv:,54 algo1 action:,54 algo1 adv:,55 algo1 action:,55 algo1 adv:,56 algo1 action:,56 algo1 adv:,57 algo1 action:,57 algo1 adv:,58 algo1 action:,58 algo1 adv:,59 algo1 action:,59 algo1 adv:,60 algo1 action:,60 algo1 adv:,61 algo1 action:,61 algo1 adv:,62 algo1 action:,62 algo1 adv:,63 algo1 action:,63 algo1 adv:,64 algo1 action:,64 algo1 adv:,65 algo1 action:,65 algo1 adv:,66 algo1 action:,66 algo1 adv:,67 algo1 action:,67 algo1 adv:,68 algo1 action:,68 algo1 adv:,69 algo1 action:,69 algo1 adv:,70 algo1 action:,70 algo1 adv:,71 algo1 action:,71 algo1 adv:,72 algo1 action:,72 algo1 adv:,73 algo1 action:,73 algo1 adv:,74 algo1 action:,74 algo1 adv:,75 algo1 action:,75 algo1 adv:,76 algo1 action:,76 algo1 adv:,77 algo1 action:,77 algo1 adv:,78 algo1 action:,78 algo1 adv:,79 algo1 action:,79 algo1 adv:,80 algo1 action:,80 algo1 adv:
0.0,0,15.091669150075631,0,33.06624328522412,0,-19.734984069672464,0,-15.447869879711106,0,11.877651956033333,0,14.255139733250871,0,4.56933160475819,0,-0.6291478753100819,0,-6.514215570718079,0,-5.455240113213222,0,-2.956043487321949,0,13.00066221599809,0,4.613103510779183,0,7.823790351660136,0,-5.7002230730468,0,-1.5732776345375896,0,-0.9728826477185066,0,0.49035505195388396,0,-7.577971095688554,0,0.25483683894162823,0,7.72823408421209,0,-8.598607087471464,0,-0.617128276209769,0,-3.9245850263632747,0,6.645681616393631,0,-2.67540987515531,0,0.31675493370130425,0,-4.876994610733163,0,-0.28953017408457526,0,-0.11321141245389299,0,5.7971940039551555,0,-1.6740382240623148,0,10.37944007832266,0,-7.753869983909681,0,11.410464979453536,0,-26.51879374903001,0,7.280136292261886,0,9.572291616586881,0,12.874709464174884,0,0.25858934941243206,0,5.9042211586911435,0,-13.655884101661286,0,-4.103950556374912,0,11.30227017098332,0,-9.870111730380813,0,18.62962397254887,0,14.702073908578313,0,-8.605953347938339,0,1.8718612263492105,0,-27.886504187346873,0,-11.737966433391193,0,0.32076563469308894,0,7.6120279059396125,0,-4.213946049161677,0,-14.072922475961605,0,-0.7054678630975104,0,4.401888356855125,0,12.191640392371482,0,1.570443247906951,0,0.4630246297292615,0,4.636734001820514,0,-1.3982363281247672,0,3.355387319714282,0,7.296903080412449,0,9.767259605689105,0,9.097523776752496,0,1.4946103345992015,0,-2.192079801876389,0,0.09811218595132232,0,-0.882166980069087,0,-1.4201201050709642,0,-2.1937205625781644,0,14.319663737787778,0,1.1963513928731118,0,2.6002644327672897,0,7.408019318001607,0,0.4713482620572904,0,-2.0922264461842133,0,0.8984599633604375,0,-0.8832386786598363
0.0,1,17.21376922349964,1,26.341194392883608,1,-11.813435871588808,1,-56.42301576312366,1,14.644043181995585,1,-0.17526506765534577,1,3.0894483754636894,1,-4.835861890313936,1,-0.05043200895670452,1,0.4724863523570093,1,-12.766677705296388,1,-34.9166675034885,1,4.044413742634788,1,7.823790351660136,1,7.6263146082110325,1,-5.488656734645701,1,-0.9991742206893832,1,0.5061016594299872,1,-7.577971095688554,1,6.810944159042265,1,-12.869184921681153,1,9.172171787766274,1,-5.233732940447226,1,-1.3366083087748848,1,6.207972060135944,1,0.7824199848801072,1,-0.0019179008995706681,1,23.447055744030877,1,-3.7861757521714026,1,1.3876529107874376,1,-4.582169180364872,1,5.8890927419342916,1,-0.12475472045480274,1,11.35021452388537,1,-9.366679387017939,1,10.307776747637035,1,2.300714116781819,1,-24.355910708745796,1,-6.916320176798763,1,0.25858934941243206,1,5.213612026014744,1,20.706762799512944,1,7.7055138511950645,1,6.916023282414244,1,-5.297516012717097,1,-16.688478539857897,1,1.1843785573109926,1,7.256987903225308,1,4.357052710143762,1,30.486231602824773,1,-3.2273802147956303,1,0.32076563469308894,1,-3.878071543500482,1,16.211805724642545,1,10.836944454675177,1,1.1185986594682618,1,5.908765935173506,1,-13.629513201769441,1,0.11382658382353839,1,0.4630246297292615,1,-3.014962851853852,1,0.17832771789835533,1,0.730380205102847,1,2.3012247159967956,1,-13.981680191529449,1,-14.761373206807548,1,0.4846925306301273,1,-3.467294500231219,1,-15.867823491778836,1,9.40670510235941,1,18.606647666911158,1,7.450921913772618,1,-4.0062237030851975,1,13.960706488445794,1,-4.866099245889927,1,9.50189058622891,1,0.5777883694554475,1,4.137754633220538,1,0.8984599633604375,1,-9.117277518222181
0.0, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:, algo2 action:, algo2 adv:
0.0,1,-18.868220000000058,1,9.900328828125566,0,-60.501323925781094,0,175.2940453613281,1,-255.43284762695293,0,214.57200079101534,0,-84.39300301757763,1,231.35518480468755,1,20.7435297460936,1,12.455912539062524,1,236.55367730468743,0,14.212430859375303,0,52.220204941406394,0,-290.74443519531263,1,-62.242153828125,1,25.395963085937893,1,19.21992539062505,1,240.70020017578102,0,-175.67531722656267,1,26.188917851562564,0,239.6278491796875,1,-420.99759152343756,0,68.4580054492186,0,17.11940890624983,1,-429.2668928320313,1,-170.0574407617186,0,17.457737929687568,1,17.536979765624988,0,236.34264720703152,1,236.17218890625026,1,-402.1230739257813,0,235.3747920507812,0,17.429692402343797,1,71.47621015624954,0,26.609004921875222,0,-175.93181591796872,0,91.63608124999996,0,226.31152921874985,1,210.79989687499992,0,17.203348984375225,0,22.198262382812644,1,20.2960003320311,0,-288.92695652343764,0,226.5724874023438,0,-69.30280500000003,0,26.514522558593853,1,23.882788984375253,0,26.493365839843904,0,26.62388832031271,1,-181.62525580078108,0,-180.08747404296915,0,-174.5694162500002,0,-175.96459648437542,0,22.122546777343842,0,-391.8960943750003,1,16.986937148437494,1,-393.7660217968749,0,163.00920841796867,0,83.08329242187511,0,-70.87151951171876,0,21.96917414062481,0,-191.28055183593764,0,17.114162753906186,0,246.76220441406235,0,152.90957119140617,1,-71.93072115234361,0,-65.17877427734422,0,-175.03632394531243,1,211.91914339843743,0,17.132792148437375,0,213.58240970703127,0,-71.1578413476564,1,17.042819707031327,0,215.00842384765616,1,17.11573689453121,1,221.44845109374978,1,-392.27994718749994,0,-392.7029115039062,0,158.34932998046867,0,-393.6552335937501
0.0,0,-12.940100000000067,0,-194.09038603515626,0,7.131125996093829,1,8.176598662109427,0,9.204299628906114,1,124.79946302734373,1,164.68274944336014,1,275.65462072265626,0,20.743529746093685,1,12.455912539062524,1,-399.1580124804688,0,-404.3076308789062,0,14.786115976562641,0,-178.78016886718763,0,236.35144628906258,0,60.355854355468665,0,163.32124578125007,1,103.94265925781231,1,26.2752719921875,0,26.18891785156245,0,-418.7588818164063,1,-75.13076999999976,1,-78.41888339843757,0,17.119408906250044,0,-87.92238550781255,0,-165.19557160156262,0,17.457737929687738,0,-83.70515947265613,0,163.0219590820313,0,17.613279882812563,1,17.64552089843727,0,235.37479205078142,0,17.42969240234376,1,65.15978988281232,0,154.03849847656272,0,-286.7451278124997,1,-185.41839851562503,0,22.27009513671871,1,17.2031357226563,0,156.81438523437532,0,91.59798361328134,0,17.26988583984368,1,26.63882050781214,1,-400.8438721093749,0,26.59484535156261,0,97.66991503906247,0,-172.17660929687486,1,22.110898222656402,1,-60.731756406249986,1,215.33074255859384,0,22.114781074218612,0,239.1348323046874,0,-396.8565366406251,1,-59.83079003906248,1,-55.865093437500335,0,222.46002914062498,0,26.154221386718774,0,-174.1126576757814,1,-173.14580423828124,1,17.006298417968736,0,163.9482988671873,0,225.20046011718733,0,243.69632580078104,1,-394.6788704296875,0,-73.6331979101563,1,-284.14468095703137,1,236.99769753906253,1,-283.302990664062,0,-280.0663748437503,0,-66.2275358984376,1,-65.8190076367188,1,-166.35211021484383,0,-399.71540167968726,0,215.0084238476563,1,222.60869869140612,1,-282.905111328125,1,165.1106890234372,1,-67.33745390624988,1,26.252450429687492,0,81.32869812500005
0.0,0,-12.940100000000038,1,-279.86427599121146,1,196.9113455664061,0,-198.6858640429687,0,297.9763101171874,0,9.322195107421805,1,80.10814095703148,1,16.982343408203207,1,181.0576936621095,1,-67.79930412109361,1,-172.0004097265625,1,-92.39474154296883,1,160.9274913867187,0,156.47128164062497,1,55.21975091796872,1,25.395963085937296,1,-410.5220971289062,0,-70.26474044921869,0,59.506128261718715,0,26.188917851562707,1,-418.75888181640653,0,242.0368546484376,1,223.03610617187496,1,158.47529386718736,1,159.88051210937505,1,169.15310726562498,1,-186.18220265625018,0,-65.21776789062523,1,236.34264720703146,0,246.2511507421875,1,-58.613825566406234,0,-283.54207417968786,0,218.39673845703098,1,-166.27725353515632,1,-59.9830199609375,0,-420.18348355468765,0,-418.9010845312499,1,53.706124042968646,1,-181.4996269140626,1,-78.92115541015627,0,-405.11411718749986,0,160.98973501953122,0,26.638820507812113,0,246.82400281249986,0,-400.28757527343737,1,99.42147080078121,0,156.6015186523441,0,-284.3116983984376,0,22.176906699218733,1,217.96223937500002,0,17.15470222656228,1,26.415284140625204,0,221.48741343750004,0,17.23344607421896,1,223.2139275585934,0,-394.14227185546883,0,153.96080419921867,1,214.4827347460935,0,17.04901062499998,0,167.13978986328115,1,218.6266315039059,1,17.104975820312603,1,-186.81879871093753,1,83.21730882812486,0,-285.11579134765645,1,26.37626769531255,0,26.3902350976563,1,96.79720232421889,1,-280.0663748437503,0,160.1184976367188,1,23.656623886717966,1,238.4224865625,1,-399.71540167968743,1,154.92522908203122,0,222.6086986914063,1,221.44845109374995,1,17.061370156249808,1,88.32496958984399,0,-189.0935726953125,1,101.92403845703107
0.0,0,-12.940100000000038,1,-194.09038603515646,0,-3.2018626171878566,0,0.8763259863281974,0,76.31054960937506,0,-163.5190382714844,1,13.404574306640484,0,275.6546207226564,1,16.278855175781047,1,-170.59505458984364,1,-67.55187025390626,1,91.49875990234364,1,96.06517656249991,1,219.20201115234352,0,-406.5375613867189,0,53.72500248046845,1,25.664419863281097,0,-262.60830583984375,1,-80.83311613281276,0,52.66594443359371,0,215.14830287109368,1,-420.9975915234378,0,62.20631529296896,0,224.07963820312497,1,-429.26689283203143,0,-165.19557160156296,0,-423.77038113281276,0,-406.78962919921895,0,163.0219590820314,0,85.78473843749985,0,-63.49948105468768,1,170.89201410156227,0,218.39673845703126,1,169.60130330078118,0,69.23955927734353,0,26.598506386718938,0,-418.90108453125004,0,-292.5292752539061,1,90.78537763671872,1,234.38458136718762,1,-176.69865441406228,1,17.269885839843624,0,94.06286449218733,0,-400.8438721093751,1,26.59484535156261,1,17.32277146484384,0,235.3822025585938,1,106.03547740234353,0,243.85803177734365,1,217.96223937500025,0,-175.12739519531252,0,219.0241869335936,0,221.48741343749992,0,-168.07226808593745,1,21.992471250000307,1,-394.142271855469,1,225.15148396484352,0,214.48273474609368,0,242.0367008984376,1,214.3136355273438,0,84.67857105468741,1,-191.28055183593742,1,101.56958207031249,0,155.2728021484377,1,-173.44362070312513,1,222.0862410742189,1,217.45632150390634,1,26.23124205078105,0,-277.0399210742185,0,-61.82475625000001,0,26.271571191406366,1,238.42248656250007,0,26.203250058594023,0,215.0084238476561,1,165.05459779296885,1,-64.76183861328113,0,26.29580875000005,0,-171.69325802734375,1,26.252450429687194,0,21.951701308593456
0.0,0,-12.940100000000085,0,79.61652337890638,0,-226.17992767578102,1,-284.3951517480466,1,-43.87673863281256,1,13.595110410156309,1,222.01672449218748,0,-153.7529802929688,0,11.479364589843726,1,155.78999394531252,1,124.28780093750001,1,14.21243085937499,0,222.2947258007815,0,156.47128164062528,1,-62.242153828125055,1,228.2401090625001,0,-85.01907919921892,1,240.70020017578096,1,26.275271992187555,0,99.41198951171869,1,23.508888085937286,0,223.03483718750005,1,-408.63658736328125,1,17.119408906249646,1,-429.2668928320313,1,223.93129033203093,1,24.14804292968759,0,155.9885650976562,1,-414.89599224609344,1,102.67257541015604,0,239.50303818359367,0,216.97195468750004,0,-288.2858364843754,1,164.09151935546882,1,-412.0462302343751,1,-71.65628328124977,1,-181.19830878906234,1,155.2782944531249,1,-66.76232324218762,1,-72.1375660937496,0,26.59474630859387,1,-70.26506658203135,0,26.638820507812298,1,-400.843872109375,0,17.37761759765661,0,17.32277146484364,1,82.82692187500018,1,227.1260716796875,1,-60.7317564062499,0,217.9622393750002,0,17.154702226562506,1,239.13483230468702,0,17.080424511718775,1,-59.83079003906229,0,171.50497458984407,0,80.04520767578128,0,232.36287212890625,0,-179.06078480468784,0,163.72091105468763,1,154.38308253906257,1,239.53761804687514,1,243.15174146484358,1,225.12849681640606,1,246.76220441406255,1,238.19382890625016,0,-394.9833503906246,1,26.39023509765633,0,80.13429412109355,1,-280.06637484375017,1,164.4803382421876,0,213.58240970703147,0,96.77479035156219,1,-64.75014869140648,0,-288.19549888671844,1,99.82714818359374,1,84.55330603515637,0,244.71576917968753,1,216.53207748046879,0,162.69473189453095,1,17.10153818359356
0.0,1,-12.940100000000047,1,-567.6007381933589,0,346.40503671875007,1,-281.39601758789047,1,225.49481556640598,1,212.17121016601533,0,8.634471328124704,0,57.9485320800782,0,-394.49554476562514,0,21.5948790624999,0,61.24670287109379,0,-169.3641968945312,0,52.22020494140651,0,24.57837919921886,0,25.156382109375112,0,20.926628496093826,1,97.60584416015652,0,-403.154150839844,0,242.73173564453126,1,161.7334737109374,0,-83.84402552734396,1,-420.99759152343796,0,68.45800544921856,0,-281.893060449219,0,22.1807895507813,0,17.49364871093746,0,235.02452117187516,1,-267.3817117578127,0,-68.37251789062475,1,169.10063902343742,0,-164.45367916015618,0,-170.67849185546842,1,-288.28583648437564,0,71.47621015624975,1,-59.98301996093812,1,-289.8410677539064,1,-181.19830878906262,0,22.270095136718822,1,-66.7623232421876,1,212.9588273437499,1,-405.11411718750014,0,91.23526521484372,0,17.343805664062046,0,-168.01549876953106,0,156.37453626953163,1,218.27434566406265,0,156.601518652344,0,227.12607167968736,1,243.85803177734374,0,233.39619242187513,0,97.68383812499994,0,26.415284140625147,0,-68.10638972656241,0,249.87250150390645,0,171.50497458984373,0,-177.68194874999995,0,225.15148396484392,0,16.956979960937673,0,26.337654921875128,0,26.2735786523439,0,221.2061805664061,0,21.95752558593736,1,243.69632580078104,0,155.2728021484374,0,96.21806423828093,0,80.08728082031266,0,158.9580010937501,1,158.65555214843732,0,84.9450653124998,0,-166.2484369726561,0,213.5824097070314,1,-64.54209445312486,0,77.37091472656243,1,-70.4557670703125,1,-165.67737830078113,0,78.30014177734384,1,17.061370156250106,1,-392.70291150390585,1,82.1788208007811,0,-66.70639330078144
0.0,1,-16.892180000000025,0,-279.8642759912105,1,419.57206663085935,1,175.294045361328,1,223.17522576171874,1,164.63916501953116,0,109.13493205078122,0,275.65462072265626,0,107.7474118066404,1,62.8717302343743,1,-60.62149287109389,1,213.6842215234376,1,24.095405156249953,1,219.20201115234374,1,-406.53756138671844,0,53.72500248046879,1,97.60584416015638,0,217.02631470703116,1,16.889201855468855,1,-281.72479322265644,0,84.69443298828132,0,21.982764121093908,1,22.107015371093496,0,26.490111152343644,0,26.4949175195313,1,168.8520268359375,0,52.24130332031248,0,-270.3733990429686,1,-414.8959922460932,1,-61.4053201562501,0,-164.4536791601565,0,235.3747920507813,1,-67.71827091796877,0,219.44088892578105,0,-71.9965694335936,0,96.87073363281225,1,211.25658552734387,0,20.3170301953126,0,-294.39473734374985,0,-294.6670457421875,0,-181.67590283203123,1,212.7556149218748,1,-179.5143550195312,1,168.5716609765625,0,-400.2875752734373,1,-184.66834341796877,0,26.47868867187526,0,75.2127628710938,1,-399.4648206640625,0,217.96223937500002,1,-397.98351371093753,1,-395.3368890429685,0,-396.856536640625,1,230.7937491796874,1,165.5131378124999,1,16.986937148437352,0,225.15148396484375,1,211.82939972656246,0,26.337654921875128,0,26.27357865234373,1,239.53761804687483,0,-76.27038076171891,1,17.114162753906285,0,-281.93519996093767,1,-72.42822433593795,1,-284.14468095703137,0,-278.5824829296875,0,-170.12869039062494,0,26.319972343750067,0,245.47289179687488,1,213.58240970703127,1,219.28884240234373,1,230.22069628906252,1,-395.6330252539062,1,98.06896449218743,0,17.048301113281326,1,160.74134304687493,0,26.250490390625487,0,-396.19369289062513,0,17.101538183593675
