_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
24.57413,50,100000,0.049908307,0.484199684,-0.992438987,-7.227475364,4.60E-16,0.999999959,1,0.45,47.63325125,0.1975,1.0432893,0.95566887,0.9997277,0.3464818,8.77E-05,0.000246875
21.36204,49.5,100000,0.002315497,0.49651993,-0.021110779,-5.950745365,8.314996675,0.999999997,2,0.9,1.010185605,0.195,1.0600773,0.94949126,1.0000069,0.34648368,0.000152534,0.00024375
31.59599,49.5,100000,0.000532702,0.507180144,-0.037099024,-4.518132683,4.69451594,0.999999997,3,1.36,1.757961525,0.1925,1.1541357,0.86340475,0.99996704,0.3460202,0.000314417,0.000240625
24.75603,48.5,100000,0.000165637,0.52250045,-0.011675564,-4.451050598,19.91141466,0.999999997,4,1.88,0.587782729,0.19,1.028918,0.96533656,1.0000162,0.34585828,2.25E-05,0.0002375
26.82893,48,100000,6.71E-05,0.526040521,-0.023783683,-4.979522901,6.534601355,0.999999997,5,2.4,1.124404495,0.1875,1.0403211,0.9585351,0.9999837,0.34561303,1.88E-05,0.000234375
28.16211,47.5,100000,4.00E-05,0.532610652,-0.020083341,-4.525421846,8.12008146,0.999999997,6,2.92,0.952118432,0.185,1.0519834,0.9598381,0.99990505,0.34619644,0.000150992,0.00023125
23.06702,49,100000,2.56E-05,0.517790356,0.010454653,-3.826565518,27.62880657,0.999999997,7,3.45,-0.513427763,0.1825,1.009672,0.99011725,1.000001,0.3462937,3.77E-06,0.000228125
28.36019,49,100000,2.48E-05,0.517230345,0.017801928,-3.52699204,21.33893602,0.999999997,8,3.97,-0.869343558,0.18,1.0106926,0.98698884,0.9999947,0.34622943,1.67E-06,0.000225
25.70241,49,100000,1.45E-05,0.518950379,-0.002703699,-4.455641674,8.800510837,0.999999996,9,4.5,0.14460154,0.1775,1.0415394,0.9486047,1.00006,0.34588745,7.15E-05,0.000221875
23.99952,49,100000,9.86E-06,0.524210484,0.000578857,-4.494073449,14.71558082,0.999999996,10,5.02,-0.020853873,0.175,1.0668849,0.9500581,1.0000191,0.34631205,9.57E-05,0.00021875
24.28626,49,100000,1.48E-05,0.517250345,-0.009828858,-4.841529725,4.522382538,0.999999996,11,5.61,0.452647108,0.1725,1.0240359,0.97105604,1.00006,0.34598348,6.28E-05,0.000215625
27.16859,48.5,100000,1.53E-05,0.525350507,-0.012180645,-4.627825349,4.5173724,0.999999997,12,6.48,0.597383821,0.17,1.0464483,0.9612014,0.99996525,0.34627333,7.84E-05,0.0002125
24.11246,49,100000,1.14E-05,0.512780256,-0.00750498,-5.015191821,4.57426498,0.999999996,13,7.17,0.362094644,0.1675,1.0257823,0.9728273,0.99991983,0.34597364,9.44E-05,0.000209375
26.85205,48.5,100000,1.38E-05,0.526630533,0.016916312,-3.834447098,26.0850485,0.999999997,14,7.84,-0.782274779,0.165,1.0201845,0.9836921,0.9999777,0.34596625,3.36E-06,0.00020625
24.96187,48.5,100000,1.02E-05,0.52551051,0.003657217,-4.707562321,13.34603206,0.999999996,15,8.43,-0.161442426,0.1625,1.0137845,0.988173,0.9999919,0.34602427,1.56E-06,0.000203125
25.98668,48.5,100000,8.51E-06,0.522930459,-0.005907686,-4.663634835,4.342735435,0.999999996,16,8.97,0.25971976,0.16,1.0308325,0.9730142,0.9999932,0.34625036,3.33E-05,0.0002
25.10317,49,100000,8.95E-06,0.51649033,-0.003140423,-4.725659999,4.408514506,0.999999996,17,9.49,0.150497782,0.1575,1.0163747,0.98559344,1.0000216,0.34636012,1.27E-05,0.000196875
24.21472,48,100000,9.55E-06,0.517120342,-0.003697207,-5.115965446,4.809715062,0.999999996,18,10.03,0.159353331,0.155,1.0492784,0.9543787,0.9998956,0.34650576,5.67E-05,0.00019375
23.32621,49,100000,1.03E-05,0.505720114,0.00573336,-5.712111343,5.495017824,0.999999996,19,10.55,-0.273869726,0.1525,1.0113435,0.9892369,0.99998623,0.34646615,5.79E-06,0.000190625
20.81854,49.5,100000,9.14E-06,0.508740175,0.007537207,-5.922437543,5.741722721,0.999999996,20,11.09,-0.361983424,0.15,1.046315,0.9539893,1.0000335,0.34650373,2.28E-05,0.0001875
23.47086,49.5,100000,8.03E-06,0.507170143,0.000638356,-4.914683157,4.594160434,0.999999996,21,11.62,-0.031805571,0.1475,1.0516571,0.9530797,1.0000671,0.34643173,4.38E-05,0.000184375
27.01395,49,100000,9.39E-06,0.511700234,-0.005098706,-4.945227978,4.334959113,0.999999997,22,12.15,0.251365617,0.145,1.0483431,0.95191586,0.9999864,0.3462159,7.58E-05,0.00018125
24.80294,49,100000,5.79E-06,0.521070421,0.000628499,-4.559278436,4.279337363,0.999999996,23,12.67,-0.046691889,0.1425,1.0742652,0.9297075,0.99978924,0.34655225,0.000343208,0.000178125
27.01568,50,100000,7.94E-06,0.496639933,0.029179749,-3.571594081,30.68815031,0.999999997,24,13.2,-1.406161772,0.14,1.0240617,0.97516346,0.9999893,0.3465335,4.85E-06,0.000175
25.05776,49.5,100000,6.45E-06,0.499249985,0.020108677,-4.28729841,20.01452876,0.999999997,25,13.73,-0.977492178,0.1375,1.0501215,0.941788,1.0000584,0.3464499,9.91E-05,0.000171875
