_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
23.23584,49.5,100000,0.06158962464317321,0.5115904636185448,-1.109479267890559,-6.871597739001876,1.8230465783004155e-15,0.9999999678028555,1,0.61,53.22054183483124,0.1975,1.0835947,0.901468,0.9997376,0.34646627,6.113254e-05,0.000246875
27.33185,48.5,100000,0.0052135204765567916,0.50065002600104,-0.03838408567096142,-5.52255066028647,18.897547150122588,0.9999999975004954,2,1.41,1.805884847883135,0.195,1.0731152,0.8962336,1.0000539,0.34625643,3.1921074e-05,0.00024375
24.46436,48.5,100000,0.0005557291990610343,0.50065002600104,-0.04376227430229119,-6.130364310588525,5.71829791457213,0.9999999970379431,3,3.16,2.047332763671875,0.1925,1.0458716,0.95916927,1.000018,0.34639648,7.840519e-06,0.000240625
24.72069,49.0,100000,0.00016196431054539895,0.4965598623944958,-0.03133186909839708,-5.7789853597707355,7.143427943378993,0.9999999970426923,4,4.91,1.5272111175581813,0.19,1.0223461,0.97935104,1.0000216,0.34640425,5.2014702e-06,0.0002375
25.92404,49.0,100000,7.951885091159801e-05,0.4986699467978719,-0.027359970935636944,-5.927379176960096,8.5356328476366,0.9999999970448805,5,6.67,1.3335224302718416,0.1875,1.0731179,0.8979575,0.9999104,0.3461887,3.8957634e-05,0.000234375
23.63478,48.5,100000,4.400104777071313e-05,0.500320012800512,-0.016675158190039622,-5.627122136420175,9.776531899313854,0.9999999969080663,6,8.37,0.7902062707580626,0.18500000000000003,1.0261496,0.97596276,1.0000509,0.34624878,2.0651869e-05,0.00023125
27.50664,48.5,100000,4.05674351071724e-05,0.5047801912076483,-0.028631608875537794,-5.493806526105837,5.099516982076167,0.9999999971388799,7,10.16,1.34560938924551,0.1825,1.0526433,0.9547798,0.9999674,0.34610948,3.0391408e-05,0.000228125
24.93396,49.0,100000,2.6023049588679457e-05,0.5098203928157127,-0.014283267790896156,-5.2616874355787475,5.056695652231918,0.999999996949806,8,11.89,0.6792222277726978,0.18000000000000002,1.1270403,0.9144226,0.99980265,0.3462972,0.00027491018,0.00022500000000000002
25.13175,49.0,100000,2.6195651543292807e-05,0.4923596943877755,-0.015143957529692087,-5.437117958725469,4.942529297196927,0.999999996989051,9,13.62,0.7123713283799589,0.1775,1.0249732,0.9740424,0.99995995,0.34616986,5.391497e-05,0.00022187499999999999
22.21677,49.0,100000,2.1262374567016032e-05,0.48525941037641507,0.01017176400957772,-5.316881356042767,20.55162272770685,0.9999999970215259,10,15.32,-0.48774747434072196,0.17500000000000002,1.0790421,0.9266289,0.999922,0.34592432,5.3243086e-05,0.00021875
26.77182,50.0,100000,2.5081220002431345e-05,0.47875915036601463,-0.014875920303330225,-5.3755626760870685,4.7942418925601915,0.9999999971025856,11,17.1,0.6766559043899179,0.17250000000000001,1.0455239,0.9467058,0.9999676,0.3457697,2.3429244e-05,0.00021562500000000002
28.90285,51.0,100000,2.4514537405081735e-05,0.47060882435297413,-0.006227315139211682,-5.6402278908992605,8.796009532104621,0.9999999972567345,12,18.79,0.3082986753433943,0.17,1.0154907,0.9799895,0.9999985,0.3457186,3.860439e-06,0.0002125
28.58705,50.5,100000,3.5141935718018234e-05,0.4750690027601104,-0.006953355830378053,-5.666764938061134,7.8114832728113335,0.9999999971383277,13,20.56,0.3230929379351437,0.1675,1.0158286,0.9873737,0.9999997,0.3456662,3.1248217e-06,0.000209375
29.613,50.5,100000,2.9400872389999114e-05,0.47097883915356614,-0.0121150527500579,-4.9956359447670815,6.475868320459732,0.9999999973113722,14,22.27,0.6003941395319998,0.165,1.0383971,0.9515568,1.0000125,0.3455773,1.713538e-05,0.00020625
27.36836,50.0,100000,2.5600233404486137e-05,0.46929877195087805,0.00015645549435112894,-5.158438290625351,10.739449281985747,0.9999999971916584,15,24.06,-0.002122886828146875,0.1625,1.0230498,0.9724057,0.9999183,0.34568325,2.8695871e-05,0.00020312500000000002
30.33133,50.0,100000,2.7706113647368174e-05,0.4794991799671987,-0.0013437569465724836,-4.936425127060423,15.572936264633672,0.9999999974076693,16,25.78,0.04633065056987107,0.16000000000000003,1.1003528,0.94855297,1.0000545,0.34565422,3.335309e-05,0.0002
25.87437,50.5,100000,2.3502034752909358e-05,0.4713388535541422,0.0013801521039664224,-5.663273911298586,8.749699957281038,0.9999999970536426,17,27.58,-0.06852432154119015,0.1575,1.0422922,0.9404814,0.99997175,0.3458058,4.3719763e-05,0.000196875
23.98362,50.0,100000,2.0916853431974776e-05,0.47876915076603066,-0.0014970248824158422,-6.046510161423556,5.623140577673172,0.9999999968651994,18,29.32,0.05640740902163088,0.15500000000000003,1.1032779,0.92735225,1.0000368,0.3455967,7.828769e-05,0.00019375000000000002
25.19944,50.5,100000,2.3081712219390253e-05,0.4722888915556622,0.011376848911894184,-5.464593630635532,22.6439835351005,0.999999997199692,19,31.1,-0.5331583856604993,0.1525,1.0215386,0.96946865,0.99997133,0.34514865,5.5356657e-05,0.00019062499999999998
26.81363,51.5,100000,2.332928247863867e-05,0.46221848873954957,-0.00804819674274349,-5.608996438521917,5.256406612449652,0.9999999971166701,20,32.83,0.37082761665806174,0.15000000000000002,1.0271733,0.9579058,1.0000147,0.34470823,1.8210252e-05,0.0001875
29.01336,51.5,100000,2.325827082987305e-05,0.4589683587343494,-0.011819149804314429,-5.804523094769339,5.461144044097463,0.9999999972559792,21,34.65,0.5895844185724854,0.14750000000000002,1.0819227,0.92479473,1.0000261,0.34430236,4.111195e-05,0.00018437500000000002
