_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
29.84276,50.0,100000,0.03678578926043428,0.5114504580183208,-0.9335826340737928,-6.130853404309033,1.2231154804494883e-15,0.999999978894933,1,0.46,44.76554477214813,0.19753086419753085,1.1067208,0.89968204,0.9984243,0.34596822,0.0009946735,0.0002469135802469136
23.76531,49.5,100000,0.0011881175267176801,0.4814192567702708,-0.029956686405387758,-5.333977979930935,5.171758931196708,0.999999997918642,2,0.87,1.4637687164358795,0.19506172839506175,1.0264097,0.9771605,0.9999802,0.34622166,5.7579975e-05,0.00024382716049382717
28.06002,49.0,100000,0.0003193713194224723,0.4891595663826553,-0.009577081318738615,-4.595471401678867,21.86336331610474,0.999999998019336,3,1.28,0.4694885993376374,0.19259259259259262,1.072978,0.9326867,0.9999671,0.3463419,0.00044398208,0.00024074074074074075
28.94811,49.0,100000,0.00013775709034069726,0.5055002200088003,-0.026014583524649457,-4.735338222381882,8.792939944255554,0.9999999976239909,4,1.76,1.2247372940182686,0.19012345679012346,1.0395124,0.95598775,1.000049,0.34632018,6.923117e-05,0.00023765432098765433
26.83599,49.0,100000,6.079692376445062e-05,0.4984699387975519,-0.029632881299933408,-4.885428693770079,5.196506737193809,0.9999999973985498,5,2.25,1.4088966634590179,0.18765432098765433,1.0631264,0.93234634,1.000016,0.3460307,0.00021877052,0.00023456790123456788
27.62818,50.0,100000,5.001791162239628e-05,0.4876095043801752,-0.024058126765489497,-5.203484166342388,5.300379329055149,0.9999999974156091,6,2.73,1.1807081317529082,0.1851851851851852,1.0422682,0.9440733,1.000035,0.34550324,0.0001664438,0.0002314814814814815
26.79987,50.0,100000,2.9499555105570935e-05,0.4751290051602064,-0.02405881715806627,-5.06542233317012,4.981404722244294,0.9999999972632283,7,3.21,1.1738445651717484,0.18271604938271607,1.0186119,0.98699874,0.99999696,0.34556603,5.629889e-06,0.00022839506172839507
31.80141,50.0,100000,2.3510263035335063e-05,0.4740389615584623,-0.025325712663503936,-4.932989116757596,4.61187886363938,0.9999999974856238,8,3.69,1.2436355084646493,0.18024691358024691,1.0664563,0.9408296,0.9998701,0.34608033,0.00034647016,0.00022530864197530865
25.6697,50.0,100000,2.1591541418705727e-05,0.49271970878835153,-0.00031684261109791404,-5.509690887034278,13.172063023862261,0.9999999971808408,9,4.23,0.04483101749792695,0.17777777777777778,1.0661058,0.9357894,0.9999523,0.34599742,0.00047569102,0.0002222222222222222
26.70622,49.5,100000,1.6536184200842685e-05,0.5088003520140806,-0.00024607298573860946,-5.187302578079127,18.669097894303444,0.9999999972926891,10,4.78,0.01181090553291142,0.17530864197530865,1.0844468,0.92515326,1.0000869,0.34620392,0.00059133564,0.00021913580246913581
