_AverageReward,_No_optimal_actions,Steps,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
28.2629,49.5,100000,0.049244806186290443,0.513817635270541,-0.8097625806592225,-7.4815397782444695,0.0,0.9999999992026729,1,0.46,38.76887309551239,0.19753086419753085,1.2452824,0.7805968,0.9986529,0.34551385,0.0011045716,0.0002469135802469136
30.54264,51.0,100000,0.00212818688485316,0.4597995991983968,-0.26108332484465324,-5.909672695251228,5.118353728949065,0.9999999994378848,2,0.87,12.524058848619461,0.19506172839506175,1.0637424,0.67703694,0.999995,0.34057373,0.00020441877,0.00024382716049382717
25.19282,50.5,100000,0.0004933772161267026,0.46100200400801605,-0.21877436800002303,-6.508701195340193,7.321272889894412,0.9999999992923512,3,1.29,10.475878402590752,0.19259259259259262,1.2121284,0.9491981,0.9997326,0.34246087,0.00046300684,0.00024074074074074075
28.3488,50.0,100000,0.0001576251798145611,0.49532064128256514,-0.2310408974845286,-6.3991568176075715,8.599530139474215,0.9999999992928714,4,1.78,11.095952838659286,0.19012345679012346,1.1730096,0.9581358,0.9998359,0.34425548,0.00018561416,0.00023765432098765433
32.25207,52.5,100000,8.901840416172833e-05,0.47899799599198395,-0.20476311597583674,-6.705978533902571,5.92961699209726,0.9999999993986423,5,2.27,9.810978591442108,0.18765432098765433,1.0385871,0.94607526,0.99998933,0.34429133,5.5049743e-05,0.00023456790123456788
28.84883,51.5,100000,5.523275492646599e-05,0.4757915831663327,-0.1734409009692415,-9.726891258447457,7.476906113373763,0.9999999993510117,6,2.76,8.313367240130901,0.1851851851851852,1.184797,0.9267535,0.9999623,0.34511727,0.00013931243,0.0002314814814814815
26.6975,51.0,100000,3.280531181348441e-05,0.4764128256513026,-0.12612216391003028,-9.063088289363746,8.962564854998945,0.9999999992849702,7,3.25,6.035174384713173,0.18271604938271607,1.0372206,0.9671985,0.9999837,0.34551436,3.8422553e-05,0.00022839506172839507
26.67539,51.0,100000,3.0424572897009748e-05,0.47966933867735473,-0.1164612084783134,-5.9268835626972365,5.259781623404297,0.9999999992172309,8,3.74,5.62113344669342,0.18024691358024691,1.2307785,0.9400573,0.999906,0.34492365,9.7527554e-05,0.00022530864197530865
26.57181,50.5,100000,2.4715903658112596e-05,0.47650300601202406,-0.09269336429876283,-6.930995296955186,5.358405636937931,0.9999999992379635,9,4.23,4.450558762997389,0.17777777777777778,1.0160539,0.9561582,1.0000044,0.3448565,1.671064e-05,0.0002222222222222222
28.67978,51.0,100000,2.2055069435474638e-05,0.4735170340681363,-0.1009004067171886,-7.643278125777064,7.270761419003296,0.9999999993011408,10,4.73,4.828998859971762,0.17530864197530865,1.0351629,0.9455892,1.0000371,0.34527752,2.0284164e-05,0.00021913580246913581
25.06091,50.5,100000,2.5432375081808294e-05,0.47624248496993987,-0.050550697786370016,-6.834243504288363,9.697712411238758,0.9999999992007186,11,5.21,2.4228518465533853,0.17283950617283952,1.0506954,0.95007753,1.0000205,0.34527627,3.0009198e-05,0.0002160493827160494
24.08625,51.0,100000,1.9315339209379363e-05,0.4790581162324649,-0.024706456965872096,-6.465919994835845,5.154027508572679,0.9999999991297203,12,5.7,1.1890625751111656,0.1703703703703704,1.0399641,0.9219628,0.99997896,0.34522158,3.3826174e-05,0.00021296296296296298
