_AverageReward,_No_optimal_actions,Steps,v1_[1 0],v2_[1 0],v1_[0 0],v2_[0 0],v1_[2 0],v2_[2 0],v1_[3 0],v2_[3 0],v1_[4 0],v2_[4 0],v1_[1 1],v2_[1 1],v1_[5 0],v2_[5 0],v1_[2 1],v2_[2 1],v1_[3 1],v2_[3 1],v1_[4 1],v2_[4 1],u_advavg_diff,n_advavg_diff,ValFuncLoss,_mean_act,_mean_adv,_min_adv,_max_adv,_std_adv,_Episode,_time_from_beginning_in_minutes,PolicyLoss,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,lr
23.396625,51.0,40000,-3.0430393517449232,-236.30523131408412,-0.0766055212707144,-88.9720073231741,-6.018102903564872,-394.88668260070085,-9.057192991517024,-608.0892837589112,-12.076845974801488,-807.8857783659064,-4.010816971170697,-370.3467521652557,-15.025903854815002,-1059.046976191892,-7.004077959674436,-567.048368548103,-9.995266251202953,-761.5450990101388,-13.037992042005289,-883.663405743357,569.8443741199756,284.94056601916543,0.031046658715417525,0.47962398119905997,-0.9576357000601119,-5.576693665461182,0.0,0.9999999988084354,1,0.34,18.11991059780121,0.196,1.1118352,0.65257764,0.9978069,0.3425583,0.0005944981,0.000245
26.089675,46.5,40000,-6.166637210260704,-536.0782682422689,-19.36159011449175,-517.3055220755169,-2.7692150240067304,-603.355313400871,-6.326511894827052,-745.760777169691,-6.51553686469453,-865.62373986676,-5.005108666704717,-599.1827771741733,0.6663620368389962,-1007.0185415486142,-6.598209967368022,-711.8998459425186,-13.216297290444864,-821.8854945932463,-8.117647314685069,-858.5450310233844,719.32449187264,558.3346956205196,0.026919982772851576,0.38746937346867344,-1.324629526714857,-5.497638896193508,-0.14307679143547133,0.9999999993248668,2,0.59,25.150394916534424,0.192,2.9104297,0.93061125,0.99927956,0.3168834,0.0010272638,0.00024
99.09485,25.0,40000,-7.128942782134467,-583.394672103239,-20.536722960757135,-564.9096685279537,-3.497009733759649,-629.9329915844419,-3.842190867960618,-709.6692924908302,-3.745289505812737,-796.2369717624146,-3.5155320220304174,-605.896277181865,-0.17403575559290888,-921.5898868669622,-6.490148659328847,-701.7994492135925,-9.4055555731816,-789.9199472507953,-8.61114971695992,-830.3005648500598,706.6703144254636,632.4469576255044,0.04195540102742733,0.20913545677283865,-1.0826637163300026,-3.1657941567187873,-0.009349968442983941,0.9999999998535799,3,0.87,20.535958528518677,0.188,3.4084017,0.9199228,0.99896264,0.1772657,0.0015854968,0.000235
121.6936,9.0,40000,-6.861775024901823,-548.9898056908119,-18.84804216702173,-529.4582029067292,-3.2781649276226235,-592.8371557765125,-4.062860072408196,-675.0726864862512,-3.6210258307620973,-757.426728808806,-2.768430332599538,-568.3037798041387,-0.9968525636437033,-874.62858122454,-5.700666348811702,-658.6992315506277,-9.084764235064677,-738.922888753024,-7.193308995625104,-784.8658753619125,666.6789045864892,646.0373720907401,0.033193274590335935,0.07155357767888394,-2.3139637812604974,-4.722540631203427,-0.07488993291210112,0.9999999997503305,4,1.22,43.95963716506958,0.18400000000000002,1.0503256,0.7677572,0.99990135,0.05863218,2.1108102e-05,0.00023
147.0806,4.0,40000,-6.646344697551165,-531.2634121880654,-18.198405195672954,-511.0383873379213,-3.1850178821318726,-574.8913640391265,-3.9396410513529916,-653.4624190438926,-3.512815283433582,-733.2684590197767,-2.702109822761168,-553.6706396867002,-0.9710594688228094,-844.4431193990846,-5.530622131570448,-638.306161750386,-8.830929305558762,-717.7489680010941,-6.997863279459768,-762.7955985596691,646.0373720907401,646.0373720907401,0.05593497620259286,0.009225461273063652,-2.5262506396118436,-5.366172287125365,-0.7880118723371214,0.9999999997756728,5,1.55,47.997950077056885,0.18000000000000002,1.0062369,0.87565553,0.99996585,0.018035024,7.461578e-06,0.00022500000000000002
161.1273,14.0,40000,-7.553632963128471,-605.5322661470606,-20.834729506985216,-596.6534355781222,-3.2719951263821923,-638.157243178443,-3.376059846727846,-711.4656351869676,-3.6276476429932107,-784.9515557599751,-2.451848019742929,-619.9127472076368,-1.18540135864422,-898.2078410241637,-6.07653842959708,-684.9662854386748,-8.44873321463902,-758.7923320598795,-5.102542445951314,-810.0011482859053,704.6711361312038,683.1208554107994,0.07502013827367252,0.09482974148707435,-1.4059693353478109,-3.5539028530348014,-0.020689250968223948,0.9999999998853929,6,1.87,26.7065167427063,0.17600000000000002,1.0551112,0.9055219,0.9999134,0.080430165,1.2153379e-05,0.00022
289.02555,5.0,40000,-7.265566739005683,-582.0221974555171,-19.92512561026584,-570.4395050568088,-3.162353309668892,-615.8709709407495,-3.280611861631945,-690.4424321774685,-3.5399135716886225,-765.1171518473919,-2.36085388161554,-595.6752374588098,-1.1611835666767958,-876.7050711287554,-5.900587022393586,-664.7218026587367,-8.241931813779079,-739.9246879591735,-4.980919346982605,-790.1085441482912,683.1208554107994,683.1208554107994,0.13464130794851029,2.5001250062503124e-05,-3.1067416497203126,-5.518679679943827,-1.2583559880930315,0.9999999998597043,7,2.19,59.00636529922485,0.17200000000000001,6.297206,0.98648804,0.99955183,0.002143534,0.000438298,0.000215
176.717475,38.5,40000,-9.178664279153265,-695.5585054455694,-23.465701565947473,-682.2705374307277,-3.4827731933796704,-724.7172749056423,-3.478025952472887,-797.005515948525,-3.074775513655954,-885.0332332927425,-0.2779779428642238,-704.300883399543,-1.2172226914098687,-1018.9076943441394,-5.6352454636910485,-772.9671654293768,-9.615992854156593,-849.3309861770153,-6.184608709392262,-924.5809824297785,798.9061790636936,733.5116110948869,0.07743142596429911,0.24531226561328068,-1.0789135003420716,-2.7056168475940776,-0.02909718802276128,0.9999999999196423,8,2.47,20.4574191570282,0.168,1.2076368,0.89557636,0.998819,0.17718925,0.00224575,0.00021
129.4545,28.0,40000,-9.358724127130829,-703.0959939134236,-23.129886178969553,-688.459039885192,-3.234014454750159,-738.6842954456359,-3.2099670303351138,-818.2221015616702,-2.3952977049597735,-898.0014805815597,-0.14545300689242,-712.1560892231089,-0.6014414866523796,-1007.2791036278718,-5.437036696268804,-781.55080434646,-10.720265560145815,-864.7875343893793,-6.510199147972885,-931.3982517765711,807.8892409356795,756.2114496175396,0.03213636033405372,0.24661233061653082,-1.1789107209882848,-2.722171718246997,-0.028816403665999385,0.9999999998815028,9,2.76,22.408931016921997,0.16400000000000003,1.0189794,0.83015096,0.9998683,0.18450283,2.4193949e-05,0.00020500000000000002
34.7011,51.5,40000,-10.115088187784389,-767.4480493335908,-24.193714905582347,-740.8559106455987,-2.851854519500787,-809.9536331587698,-2.565866077852103,-889.7152300014135,-1.2369118832969608,-980.1932150256672,-1.5675658769211371,-779.7553681594271,1.692345695094805,-1104.1547694070684,-9.289792929007561,-853.3131970016223,-11.575858915236939,-933.7021903224631,-2.878698484622927,-1010.9642045687974,880.5472761539708,785.9812741222913,0.03809359854245473,0.4781989099454973,-0.7571947354508942,-6.0294059605149,-0.0805081505845443,0.999999999694492,10,3.06,14.391754031181335,0.16000000000000003,1.0424747,0.91487855,0.999937,0.34497762,4.359645e-05,0.0002
22.86375,50.5,40000,-9.528601234535145,-770.8900265723491,-24.114456175187886,-750.6170014890149,-2.6314666355263094,-815.5598282241378,-2.840326899982634,-889.649980994853,-2.435313690946032,-973.3471201390446,-2.0181053130407065,-777.6349964091195,0.1810611351343225,-1088.8317746134032,-8.075593142500558,-850.8479046821911,-10.440724558633331,-934.7009529279303,-6.271285929447559,-1004.8567095082694,878.8761483115646,799.5331337452031,0.028857410832259008,0.48327416370818543,-1.2954445035677993,-8.485369351041598,-0.06879322257179356,0.9999999991965272,11,3.36,24.591811180114746,0.15600000000000003,1.0322744,0.9479512,0.99992335,0.34540564,3.8201448e-05,0.00019500000000000002
40.778725,47.5,40000,-9.940905330858909,-764.199547982091,-23.68327820976364,-741.9182217778765,-2.2107466692516935,-806.9593169630435,-2.0946087985296815,-877.2918033118351,-3.327582625825625,-954.2828793725065,-1.7258707635084924,-770.241903803421,-0.7595339409927093,-1069.7264038887388,-7.505272463104546,-839.4079338629632,-9.949300751479687,-917.5036564069532,-8.301495269173715,-1000.748464871882,867.2781537418821,812.0263406999843,0.03929663076847784,0.42989649482474124,-0.910296482441406,-4.387411939025136,-0.038072477677598304,0.999999999685276,12,3.68,17.237248718738556,0.15200000000000002,1.4853984,0.9721201,0.9999072,0.32157588,0.000109200526,0.00019
